Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
64,"F Li, H Yan, D Wang, TAJ Priya, S Li, B Wang, J Zhang, J Xiang","Identification of a novel relish homolog in Chinese shrimp Fenneropenaeus chinensis and its function in regulating the transcription of antimicrobial peptides",2009,"Developmental & Comparative Immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6150074246509189304",1,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:d1gkVwhDpl0C",33,10,1093,1101,64,6.40,8,8,10
63,"F Li, D Wang, S Li, H Yan, J Zhang, B Wang, J Zhang, J Xiang","A Dorsal homolog (FcDorsal) in the Chinese shrimp Fenneropenaeus chinensis is responsive to both bacteria and WSSV challenge",2010,"Developmental & Comparative Immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2734645697021845759",2,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:u-x6o8ySG0sC",34,8,874,883,63,7.00,8,8,9
29,"D Wang, F Li, Y Chi, J Xiang","Potential relationship among three antioxidant enzymes in eliminating hydrogen peroxide in penaeid shrimp",2012,"Cell Stress and Chaperones","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3737934523744768546",3,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:2osOgNQ5qMEC",17,4,423,433,29,4.14,7,4,7
27,"NG Naydenov, A Feygin, D Wang, JF Kuemmerle, G Harris, MA Conti, ...","Nonmuscle Myosin IIA Regulates Intestinal Epithelial Barrier in vivo and Plays a Protective Role During Experimental Colitis",2016,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16447645513773014641",4,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:UebtZRa9Y70C",6,,24161,24161,27,9.00,4,7,3
22,"D Wang, GK Chadha, A Feygin, AI Ivanov","F-actin binding protein, anillin, regulates integrity of intercellular junctions in human epithelial cells",2015,"Cellular and molecular life sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16253444081170778591",5,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:u5HHmVD_uO8C",72,16,3185,3200,22,5.50,6,4,4
17,"Y Xie, F Li, B Wang, S Li, D Wang, H Jiang, C Zhang, K Yu, J Xiang","Screening of genes related to ovary development in Chinese shrimp Fenneropenaeus chinensis by suppression subtractive hybridization",2010,"Comparative Biochemistry and Physiology Part D: Genomics and Proteomics 5 (2 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10959468050085736344",6,"2019-10-04","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:9yKSN-GCB0IC",,,,,17,1.89,2,9,9
15,"D Wang, F Li, S Li, Y Chi, R Wen, N Feng, J Xiang","An IκB homologue (FcCactus) in Chinese shrimp Fenneropenaeus chinensis",2013,"Developmental & Comparative Immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5607403697182196025",7,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:UeHWp8X0CEIC",39,4,352,362,15,2.50,2,7,6
15,"D Wang, F Li, S Li, R Wen, J Xiang","Expression profiles of antimicrobial peptides (AMPs) and their regulation by Relish",2012,"Chinese journal of oceanology and limnology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8384621170348459878",8,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:qjMakFHDy7sC",30,4,611,619,15,2.14,3,5,7
14,"D Wang, NG Naydenov, A Feygin, S Baranwal, JF Kuemmerle, AI Ivanov","Actin-depolymerizing factor and cofilin-1 have unique and overlapping functions in regulating intestinal epithelial junctions and mucosal inflammation",2016,"The American journal of pathology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14283854031866712233",9,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:WF5omc3nYNoC",186,4,844,858,14,4.67,2,6,3
12,"N Feng, D Wang, R Wen, F Li","Functional analysis on immune deficiency (IMD) homolog gene in Chinese shrimp Fenneropenaeus chinensis",2014,"Molecular biology reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13879977999976406961",10,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:IjCSPb-OGe4C",41,3,1437,1444,12,2.40,3,4,5
11,"D Wang, S Li, F Li","Screening of genes regulated by relish in Chinese shrimp Fenneropenaeus chinensis",2013,"Developmental & Comparative Immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=87355685827290454",11,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4sbReNUAAAAJ&pagesize=100&citation_for_view=4sbReNUAAAAJ:zYLM7Y9cAGgC",41,2,209,216,11,1.83,4,3,6
