Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1524,"ND Lawson, BM Weinstein","In vivo imaging of embryonic vascular development using transgenic zebrafish",2002,"Developmental biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0012160602907116","https://scholar.google.com/scholar?cites=1206082785529355695&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-10","","","","",,,,,1524,89.65,762,2,17
431,"T Motoike, S Loughna, E Perens, BL Roman, W Liao…","Universal GFP reporter for the study of vascular development",2000,"genesis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1526-968X(200010)28:2%3C75::AID-GENE50%3E3.0.CO;2-S","https://scholar.google.com/scholar?cites=9982509976261671244&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-10","","","","",,,,,431,22.68,72,6,19
452,"S Isogai, ND Lawson, S Torrealday, M Horiguchi…","Angiogenic network formation in the developing vertebrate trunk",2003,"…","dev.biologists.org","http://dev.biologists.org/content/130/21/5281.short","https://scholar.google.com/scholar?cites=9657350709809452968&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-10","","","","",,,,,452,28.25,90,5,16
51,"MG Butler, S Isogai…","Lymphatic development",2009,"Birth Defects Research Part …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/bdrc.20155","https://scholar.google.com/scholar?cites=18045935026741617786&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-10","","","","",,,,,51,5.10,17,3,10
51,"VN Pham, BL Roman…","Isolation and expression analysis of three zebrafish angiopoietin genes",2001,"… dynamics: an official …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/dvdy.1157","https://scholar.google.com/scholar?cites=16726891242913168420&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-10","","","","",,,,,51,2.83,17,3,18
36,"D Castranova, A Lawton, C Lawrence, DP Baumann…","The Effect of Stocking Densities on Reproductive Performance in Laboratory Zebrafish (Danio rerio)",2011,"Zebrafish","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/zeb.2011.0688","https://scholar.google.com/scholar?cites=18305543268901898724&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-10","","","","",,,,,36,4.50,7,5,8
35,"YR Cha, BM Weinstein","Visualization and experimental analysis of blood vessel formation using transgenic zebrafish",2007,"Birth Defects Research Part C: Embryo …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/bdrc.20103","https://scholar.google.com/scholar?cites=12166894106443515661&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-10","","","","",,,,,35,2.92,18,2,12
557,"DY Stainier, B Fouquet, JN Chen, KS Warren…","Mutations affecting the formation and function of the cardiovascular system in the zebrafish embryo",1996,"…","dev.biologists.org","http://dev.biologists.org/content/123/1/285.short","https://scholar.google.com/scholar?cites=14302688273614503817&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-10","","","","",,,,,557,24.22,111,5,23
61,"BM Weinstein","Plumbing the mysteries of vascular development using the zebrafish",2002,"Seminars in cell & developmental biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084952102001052","https://scholar.google.com/scholar?cites=6648057464625417368&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-10","HTML","","","",,,,,61,3.59,61,1,17
79,"DYR Stainier, E Raz, ND Lawson, SC Ekker…","Guidelines for morpholino use in zebrafish",2017,"PLoS …","journals.plos.org","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007000","https://scholar.google.com/scholar?cites=15174502524126863844&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-10","HTML","","","",,,,,79,39.50,16,5,2
68,"BL Roman, BM Weinstein","Building the vertebrate vasculature: research is going swimmingly",2000,"Bioessays","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-1878(200010)22:10%3C882::AID-BIES3%3E3.0.CO;2-J","https://scholar.google.com/scholar?cites=1764157522827906735&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-10","","","","",,,,,68,3.58,34,2,19
359,"J Torres-Vázquez, AD Gitler, SD Fraser, JD Berk…","Semaphorin-plexin signaling guides patterning of the developing vasculature",2004,"Developmental cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S1534580704002011","https://scholar.google.com/scholar?cites=13643017699587676435&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-10","HTML","","","",,,,,359,23.93,72,5,15
51,"KR Kidd, BM Weinstein","Fishing for novel angiogenic therapies",2003,"British journal of pharmacology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/pdf/10.1038/sj.bjp.0705496","https://scholar.google.com/scholar?cites=6530185850967086997&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-10","PDF","","","",,,,,51,3.19,26,2,16
234,"BM Weinstein, AF Schier, S Abdelilah, J Malicki…","Hematopoietic mutations in the zebrafish",1996,"…","dev.biologists.org","http://dev.biologists.org/content/123/1/303.short","https://scholar.google.com/scholar?cites=16291453771971094869&as_sdt=800005&sciodt=0,15&hl=en",14,"2019-06-10","","","","",,,,,234,10.17,47,5,23
14,"KM Shaw, DA Castranova, VN Pham…","fused‐somites–like mutants exhibit defects in trunk vessel patterning",2006,"… dynamics: an official …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/dvdy.20814","https://scholar.google.com/scholar?cites=9506214360452241948&as_sdt=800005&sciodt=0,15&hl=en",15,"2019-06-10","","","","",,,,,14,1.08,4,4,13
86,"I Avraham-Davidi, Y Ely, VN Pham, D Castranova…","ApoB-containing lipoproteins regulate angiogenesis by modulating expression of VEGF receptor 1",2012,"Nature medicine","nature.com","https://www.nature.com/nm/journal/v18/n6/abs/nm.2759.html","https://scholar.google.com/scholar?cites=14882632182086935687&as_sdt=800005&sciodt=0,15&hl=en",16,"2019-06-10","","","","",,,,,86,12.29,17,5,7
12,"M Venero Galanternik, AN Stratman…","Building the drains: the lymphatic vasculature in health and disease",2016,"Wiley …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/wdev.246","https://scholar.google.com/scholar?cites=18089469838453816859&as_sdt=800005&sciodt=0,15&hl=en",17,"2019-06-10","","","","",,,,,12,4.00,4,3,3
2,"BM Weinstein","Something's fishy in Bethesda: zebrafish in the NIH Intramural Program",2004,"Zebrafish","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/154585404774101635","https://scholar.google.com/scholar?cites=617130489464442804&as_sdt=800005&sciodt=0,15&hl=en",18,"2019-06-10","","","","",,,,,2,0.13,2,1,15
127,"SE Lyons, ND Lawson, L Lei…","A nonsense mutation in zebrafish gata1 causes the bloodless phenotype in vlad tepes",2002,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/99/8/5454.short","https://scholar.google.com/scholar?cites=3238924359673689906&as_sdt=800005&sciodt=0,15&hl=en",19,"2019-06-10","","","","",,,,,127,7.47,32,4,17
7,"AV Gore, LM Pillay…","The zebrafish: A fintastic model for hematopoietic development and disease",2018,"Wiley …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/wdev.312","https://scholar.google.com/scholar?cites=12565277456502469702&as_sdt=800005&sciodt=0,15&hl=en",20,"2019-06-10","","","","",,,,,7,7.00,2,3,1
