Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
662,"DE Clouthier, K Hosoda, JA Richardson, SC Williams, H Yanagisawa, ...","Cranial and cardiac neural crest defects in endothelin-A receptor-deficient mice",1998,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11606921201588660061",1,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:blknAaTinKkC",125,5,813,824,662,31.52,110,6,21
592,"X Liu, Y Zhao, J Gao, B Pawlyk, B Starcher, JA Spencer, H Yanagisawa, ...","Elastic fiber homeostasis requires lysyl oxidase–like 1 protein",2004,"Nature genetics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8012676578424831212",2,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:dhFuZR0502QC",36,2,178,178,592,39.47,74,8,15
556,"H Yanagisawa, EC Davis, BC Starcher, T Ouchi, M Yanagisawa, ...","Fibulin-5 is an elastin-binding protein essential for elastic fibre development in vivo",2002,"Nature","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11867257018769398354",3,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:GnPB-g6toBAC",415,6868,168,168,556,32.71,93,6,17
522,"H Yanagisawa, M Yanagisawa, RP Kapur, JA Richardson, SC Williams, ...","Dual genetic pathways of endothelin-mediated intercellular signaling revealed by targeted disruption of endothelin converting enzyme-1 gene",1998,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17394787099323476835",4,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:abG-DnoFyZgC",125,5,825,836,522,24.86,87,6,21
365,"A Sakamoto, M Yanagisawa, T Sakurai, Y Takuwa, H Yanagisawa, ...","Cloning and functional expression of human cDNA for the ETB endothelin receptor",1991,"Biochemical and biophysical research communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15568880382759657761",5,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:HoB7MX3m0LUC",178,2,656,663,365,13.04,61,6,28
324,"Q Lin, J Lu, H Yanagisawa, R Webb, GE Lyons, JA Richardson, EN Olson","Requirement of the MADS-box transcription factor MEF2C for vascular development",1998,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10930693298589407382",6,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:j3f4tGmQtD8C",125,22,4565,4574,324,15.43,46,7,21
246,"O Nakagawa, DG McFadden, M Nakagawa, H Yanagisawa, T Hu, ...","Members of the HRT family of basic helix–loop–helix proteins act as transcriptional repressors downstream of Notch signaling",2000,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4388603248548590577",7,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:3fE2CSJIrl8C",97,25,13655,13660,246,12.95,41,6,19
210,"H Yanagisawa, RE Hammer, JA Richardson, N Emoto, SC Williams, ...","Disruption of ECE-1 and ECE-2 reveals a role for endothelin-converting enzyme-2 in murine cardiac development",2000,"The Journal of clinical investigation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13266703811991335123",8,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:J_g5lzvAfSwC",105,10,1373,1382,210,11.05,35,6,19
207,"JD Taugor, SD Maika, N Satumtira, ML Dorris, IL McLean, H Yanagisawa, ...","Inflammatory disease in HLA‐B27 transgenic rats",1999,"Immunological reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11246506881386996604",9,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:isC4tDSrTZIC",169,1,209,223,207,10.35,30,7,20
202,"H Yanagisawa, RE Hammer, JA Richardson, SC Williams, DE Clouthier, ...","Role of Endothelin-1/Endothelin-A receptor-mediated signaling pathway in the aortic arch patterning in mice.",1998,"The Journal of clinical investigation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3383913420265091608",10,"2019-05-17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ObMFmTgAAAAJ&pagesize=100&citation_for_view=ObMFmTgAAAAJ:Se3iqnhoufwC",102,1,22,22,202,9.62,34,6,21
