Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
14,"J Li, H Stuhlmann","In vitro imaging of angiogenesis using embryonic stem cell-derived endothelial cells",2011,"Stem cells and development","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/scd.2010.0587","https://scholar.google.com/scholar?cites=12807876553638643220&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-11","","","","",,,,,14,1.75,7,2,8
137,"FM Brunel, JD Lewis, G Destito, NF Steinmetz, ...","Hydrazone ligation strategy to assemble multifunctional viral nanoparticles for cell imaging and tumor targeting",2010,"Nano …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nl1002526","https://scholar.google.com/scholar?cites=13092999939665265405&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-11","","","","",,,,,137,15.22,27,5,9
15,"K Bambino, LA Lacko, KA Hajjar, H Stuhlmann","Epidermal growth factor‐like domain 7 is a marker of the endothelial lineage and active angiogenesis",2014,"Genesis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/dvg.22781","https://scholar.google.com/scholar?cites=9122056608625417288&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-11","","","","",,,,,15,3.00,4,4,5
103,"D Nichol, H Stuhlmann","EGFL7: a unique angiogenic signaling factor in vascular development and disease",2012,"Blood","Am Soc Hematology","http://www.bloodjournal.org/content/119/6/1345.short","https://scholar.google.com/scholar?cites=1519655546692029989&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-11","","","","",,,,,103,14.71,52,2,7
41,"H Gowher, H Stuhlmann, G Felsenfeld","Vezf1 regulates genomic DNA methylation through its effects on expression of DNA methyltransferase Dnmt3b",2008,"Genes & development","genesdev.cshlp.org","http://genesdev.cshlp.org/content/22/15/2075.short","https://scholar.google.com/scholar?cites=8823374023337908193&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-11","","","","",,,,,41,3.73,14,3,11
93,"D Nichol, C Shawber, MJ Fitch, K Bambino, A Sharma, ...","Impaired angiogenesis and altered Notch signaling in mice overexpressing endothelial Egfl7",2010,"Blood","Am Soc Hematology","http://www.bloodjournal.org/content/116/26/6133.short","https://scholar.google.com/scholar?cites=2246078088385469547&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-11","","","","",,,,,93,10.33,16,6,9
14,"Z Zou, PA Ocaya, H Sun, F Kuhnert, ...","Targeted Vezf1-Null Mutation Impairs Vascular Structure Formation During Embryonic Stem Cell Differentiation",2010,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/ATVBAHA.109.200428","https://scholar.google.com/scholar?cites=6358931848701811767&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-11","","","","",,,,,14,1.56,3,5,9
10,"LA Lacko, R Hurtado, S Hinds, MG Poulos, ...","Altered feto-placental vascularization, feto-placental malperfusion and fetal growth restriction in mice with Egfl7 loss of function",2017,"…","dev.biologists.org","http://dev.biologists.org/content/144/13/2469?rss=1&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Development_TrendMD_0","https://scholar.google.com/scholar?cites=5730076980565519403&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-11","","","","",,,,,10,5.00,2,5,2
18,"LA Lacko, M Massimiani, JL Sones, R Hurtado, ...","Novel expression of EGFL7 in placental trophoblast and endothelial cells and its implication in preeclampsia",2014,"Mechanisms of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925477314000239","https://scholar.google.com/scholar?cites=12203959522133183198&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-11","HTML","","","",,,,,18,3.60,4,5,5
0,"D Nichol, A Durrans, K Bambino, M Fitch, H Stuhlmann","EGFL7 regulates vascular remodeling in vivo",2009,"","fasebj.org","https://www.fasebj.org/doi/abs/10.1096/fasebj.23.1_supplement.312.1","",10,"2019-06-11","","","","",,,,,0,0.00,0,5,10
