Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
188,"S Sumanas, S Lin","Ets1-related protein is a key regulator of vasculogenesis in zebrafish",2005,"PLoS biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14406324384635825787",1,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:u-x6o8ySG0sC",4,1,10,,188,13.43,94,2,14
135,"S Sumanas, T Jorniak, S Lin","Identification of novel vascular endothelial–specific genes by the microarray analysis of the zebrafish cloche mutants",2005,"Blood","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7616984795059217688",2,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:d1gkVwhDpl0C",106,2,534,541,135,9.64,45,3,14
125,"S Sumanas, P Strege, J Heasman, SC Ekker","The putative wnt receptor Xenopus frizzled-7 functions upstream of beta-catenin in vertebrate dorsoventral mesoderm patterning",2000,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12318175904133296764",3,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:u5HHmVD_uO8C",127,9,1981,1990,125,6.58,31,4,19
105,"S Sumanas, G Gomez, Y Zhao, C Park, K Choi, S Lin","Interplay among Etsrp/ER71, Scl, and Alk8 signaling controls endothelial and myeloid cell formation",2008,"Blood","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15015282131222473827",4,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:qjMakFHDy7sC",111,9,4500,4510,105,9.55,18,6,11
96,"K Proulx, A Lu, S Sumanas","Cranial vasculature in zebrafish forms by angioblast cluster-derived angiogenesis",2010,"Developmental biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2097952896293249245",5,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:ufrVoPGSRksC",348,1,34,46,96,10.67,32,3,9
84,"HJ Kim, JR Schleiffarth, J Jessurun, S Sumanas, A Petryk, S Lin, SC Ekker","Wnt5 signaling in vertebrate pancreas development",2005,"BMC biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1899607085293581940",6,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:9yKSN-GCB0IC",3,1,23,23,84,6.00,12,7,14
71,"S Sumanas, JD Larson","Morpholino phosphorodiamidate oligonucleotides in zebrafish: A recipe for functional genomics?",2002,"Briefings in Functional Genomics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18445198739061961309",7,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:2osOgNQ5qMEC",1,3,239,256,71,4.18,36,2,17
68,"S Palencia-Desai, V Kohli, J Kang, NC Chi, BL Black, S Sumanas","Vascular endothelial and endocardial progenitors differentiate as cardiomyocytes in the absence of Etsrp/Etv2 function",2011,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9068601933980665643",8,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:_FxGoFyzp5QC",138,21,4721,4732,68,8.50,11,6,8
66,"V Kohli, JA Schumacher, SP Desai, K Rehn, S Sumanas","Arterial and venous progenitors of the major axial vessels originate at distinct locations",2013,"Developmental cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13294303464515594834",9,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:ULOm3_A8WrAC",25,2,196,206,66,11.00,13,5,6
58,"KS Wong, K Proulx, MS Rost, S Sumanas","Identification of vasculature‐specific genes by microarray analysis of etsrp/etv2 overexpressing zebrafish embryos",2009,"Developmental dynamics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13882967489228362726",10,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v8owk2MAAAAJ&pagesize=100&citation_for_view=v8owk2MAAAAJ:eQOLeE2rZwMC",238,7,1836,1850,58,5.80,15,4,10
