Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
238,"S Van de Veire, I Stalmans, F Heindryckx, H Oura, A Tijeras-Raballand, ...","Further pharmacological and genetic evidence for the efficacy of PlGF inhibition in cancer and eye disease",2010,"Cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6122616029499625680",1,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:UeHWp8X0CEIC",141,1,178,190,238,26.44,40,6,9
103,"N Girones, H Cuervo, M Fresno","Trypanosoma cruzi-Induced Molecular Mimicry and Chagas’ Disease",2005,"Molecular Mimicry: Infection-Inducing Autoimmune Disease","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11251597886687269219",2,"2019-10-07","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:_kc_bZDykSQC",,,89,123,103,7.36,34,3,14
90,"T Kangsamaksin, A Murtomaki, NM Kofler, H Cuervo, RA Chaudhri, ...","NOTCH decoys that selectively block DLL/NOTCH or JAG/NOTCH disrupt angiogenesis by unique mechanisms to inhibit tumor growth",2015,"Cancer discovery","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3506776334709768233",3,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:9yKSN-GCB0IC",5,2,182,197,90,22.50,15,6,4
74,"V Moliné‐Velázquez, H Cuervo, V Vila‐del Sol, MC Ortega, D Clemente, ...","Myeloid‐derived suppressor cells limit the inflammation by promoting T lymphocyte apoptosis in the spinal cord of a murine model of multiple sclerosis",2011,"Brain Pathology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14483335348589146220",4,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:ULOm3_A8WrAC",21,6,678,691,74,9.25,12,6,8
73,"H Cuervo, NA Guerrero, S Carbajosa, A Beschin, P De Baetselier, ...","Myeloid-derived suppressor cells infiltrate the heart in acute Trypanosoma cruzi infection",2011,"The Journal of immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4730530379442396158",5,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:0EnyYjriUFMC",187,5,2656,2665,73,9.13,12,6,8
58,"H Cuervo, MA Pineda, MP Aoki, S Gea, M Fresno, N Gironès","Inducible nitric oxide synthase and arginase expression in heart tissue during acute Trypanosoma cruzi infection in mice: arginase I is expressed in infiltrating CD68+ macrophages",2008,"Journal of Infectious Diseases","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1590760442614483145",6,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:UebtZRa9Y70C",197,12,1772,1782,58,5.27,10,6,11
48,"A Kuchnio, S Moens, U Bruning, K Kuchnio, B Cruys, B Thienpont, ...","The cancer cell oxygen sensor PHD2 promotes metastasis via activation of cancer-associated fibroblasts",2015,"Cell reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9439110593219068737",7,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:YsMSGLbcyi4C",12,6,992,1005,48,12.00,7,7,4
42,"NM Kofler, H Cuervo, MK Uh, A Murtomäki, J Kitajewski","Combined deficiency of Notch1 and Notch3 causes pericyte dysfunction, models CADASIL, and results in arteriovenous malformations",2015,"Scientific reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12387929244322431581",8,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:ufrVoPGSRksC",5,,16449,16449,42,10.50,8,5,4
31,"IW Tattersall, J Du, Z Cong, BS Cho, AM Klein, CL Dieck, RA Chaudhri, ...","In vitro modeling of endothelial interaction with macrophages and pericytes demonstrates Notch signaling function in the vascular microenvironment",2016,"Angiogenesis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12220156268683949724",9,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:WF5omc3nYNoC",19,2,201,215,31,10.33,4,8,3
25,"RS Corral, NA Guerrero, H Cuervo, N Gironès, M Fresno","Trypanosoma cruzi infection and endothelin-1 cooperatively activate pathogenic inflammatory pathways in cardiomyocytes",2013,"PLoS neglected tropical diseases","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10090965701220725774",10,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:kNdYIx-mwKoC",7,2,2034,,25,4.17,5,5,6
24,"N GIRONÈS, E CARRASCO‐MARIN, H Cuervo, NA Guerrero, C Sanoja, ...","Role of Trypanosoma cruzi Autoreactive T Cells in the Generation of Cardiac Pathology",2007,"Annals of the New York Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4852386859850209519",11,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:5nxA0vEk-isC",1107,1,434,444,24,2.00,4,6,12
23,"CM Nielsen, H Cuervo, VW Ding, Y Kong, EJ Huang, RA Wang","Deletion of Rbpj from postnatal endothelium leads to abnormal arteriovenous shunting in mice",2014,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5539953363556063208",12,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:qjMakFHDy7sC",141,19,3782,3792,23,4.60,4,6,5
23,"MP Aoki, EA Carrera-Silva, H Cuervo, M Fresno, N Girones, S Gea","Nonimmune cells contribute to crosstalk between immune cells and inflammatory mediators in the innate response to Trypanosoma cruzi infection",2012,"Journal of parasitology research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8363438612241811134",13,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:3fE2CSJIrl8C",2012,,,,23,3.29,4,6,7
20,"MA Pineda, H Cuervo, M Fresno, M Soto, P Bonay","Lack of Galectin-3 Prevents Cardiac Fibrosis and Effective Immune Responses in a Murine Model of Trypanosoma cruzi Infection",2015,"The Journal of infectious diseases","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7376245747346013918",14,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EBRD5YwAAAAJ&pagesize=100&citation_for_view=EBRD5YwAAAAJ:MXK_kJrjxJIC",212,7,1160,1171,20,5.00,4,5,4
