Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
80,"MH Crouthamel, WL Lau, EM Leaf…","Sodium-dependent phosphate cotransporters and phosphate-induced calcification of vascular smooth muscle cells: redundant roles for PiT-1 and PiT-2",2013,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvbaha.113.302249","https://scholar.google.com/scholar?cites=16654003155290952686&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-10","","","","",,,,,80,13.33,20,4,6
32,"JD Shin, MC Wallingford, J Gallant, C Marcho, B Jiao…","RLIM is dispensable for X-chromosome inactivation in the mouse embryonic epiblast",2014,"Nature","nature.com","https://www.nature.com/articles/nature13286","https://scholar.google.com/scholar?cites=4335565261988811539&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-10","","","","",,,,,32,6.40,5,6,5
24,"ME Lin, TM Chen, MC Wallingford…","Runx2 deletion in smooth muscle cells inhibits vascular osteochondrogenesis and calcification but not atherosclerotic lesion formation",2016,"Cardiovascular …","academic.oup.com","https://academic.oup.com/cardiovascres/article-abstract/112/2/606/2415121","https://scholar.google.com/scholar?cites=12964191740936349766&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-10","","","","",,,,,24,8.00,6,4,3
13,"MC Wallingford, HS Gammill, CM Giachelli","Slc20a2 deficiency results in fetal growth restriction and placental calcification associated with thickened basement membranes and novel CD13 and …",2016,"Reproductive biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S1642431X15000972","https://scholar.google.com/scholar?cites=9494835912566036156&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-10","HTML","","","",,,,,13,4.33,4,3,3
10,"K Zhang, X Dai, MC Wallingford, J Mager","Depletion of Suds3 reveals an essential role in early lineage specification",2013,"Developmental biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0012160612005970","https://scholar.google.com/scholar?cites=11379585872409852078&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-10","HTML","","","",,,,,10,1.67,3,4,6
8,"S Rhee, MI Guerrero-Zayas, MC Wallingford…","Visceral endoderm expression of Yin-Yang1 (YY1) is required for VEGFA maintenance and yolk sac development",2013,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0058828","https://scholar.google.com/scholar?cites=16544808690116921352&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-10","HTML","","","",,,,,8,1.33,2,4,6
8,"MC Wallingford, JR Angelo…","Morphogenetic analysis of peri‐implantation development",2013,"Developmental Dynamics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/dvdy.23991","https://scholar.google.com/scholar?cites=17663035711065768265&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-10","","","","",,,,,8,1.33,3,3,6
7,"S Yamada, MC Wallingford, S Borgeia, TC Cox…","Loss of PiT-2 results in abnormal bone development and decreased bone mineral density and length in mice",2018,"Biochemical and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006291X17322490","https://scholar.google.com/scholar?cites=3324599410713621063&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-10","HTML","","","",,,,,7,7.00,1,5,1
5,"MC Wallingford, CM Giachelli","Loss of PiT-1 results in abnormal endocytosis in the yolk sac visceral endoderm",2014,"Mechanisms of development","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925477314000367","https://scholar.google.com/scholar?cites=17770543695549311358&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-10","HTML","","","",,,,,5,1.00,3,2,5
3,"M Scatena, MF Jackson, MY Speer, EM Leaf…","Increased Calcific Aortic Valve Disease in response to a diabetogenic, procalcific diet in the LDLr-/-ApoB100/100 mouse model",2018,"Cardiovascular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1054880717302326","https://scholar.google.com/scholar?cites=16709961932037350999&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-10","HTML","","","",,,,,3,3.00,1,5,1
