Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
488,"WP Kloosterman, AK Lagendijk, RF Ketting, JD Moulton, RHA Plasterk","Targeted inhibition of miRNA maturation with morpholinos reveals a role for miR-375 in pancreatic islet development",2007,"PLoS biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10116971913564474827",1,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:qjMakFHDy7sC",5,8,203,,488,40.67,98,5,12
186,"IJ Marques, FU Weiss, DH Vlecken, C Nitsche, J Bakkers, AK Lagendijk, ...","Metastatic behaviour of primary human tumours in a zebrafish xenotransplantation model",2009,"BMC cancer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9097949484176229791",2,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:UeHWp8X0CEIC",9,1,128,128,186,18.60,27,7,10
103,"S Ghani, P Riemke, J Schönheit, D Lenze, J Stumm, M Hoogenkamp, ...","Macrophage development from HSCs requires PU. 1-coordinated microRNA expression",2011,"Blood","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9361292337285221655",3,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:hqOjcs7Dif8C",118,8,2275,2284,103,12.88,15,7,8
101,"AK Lagendijk, MJ Goumans, SB Burkhard, J Bakkers","MicroRNA-23 Restricts Cardiac Valve Formation by Inhibiting Has2 and Extracellular Hyaluronic Acid Production",2011,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4535747406029374648",4,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:IjCSPb-OGe4C",109,6,649,657,101,12.63,25,4,8
66,"ES Noël, M Verhoeven, AK Lagendijk, F Tessadori, K Smith, ...","A Nodal-independent and tissue-intrinsic mechanism controls heart-looping chirality",2013,"Nature communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9511513057838456518",5,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:Tyk-4Ss8FVUC",4,,2754,2754,66,11.00,11,6,6
65,"E de Pater, M Ciampricotti, F Priller, J Veerkamp, I Strate, K Smith, ...","Bmp signaling exerts opposite effects on cardiac differentiation",2012,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2403683390145136378",6,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:zYLM7Y9cAGgC",110,4,578,587,65,9.29,9,7,7
53,"K Koltowska, AK Lagendijk, C Pichol-Thievend, JC Fischer, M Francois, ...","Vegfc regulates bipotential precursor division and Prox1 expression to promote lymphatic identity in zebrafish",2015,"Cell reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13450255764052826835",7,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:u-x6o8ySG0sC",13,9,1828,1841,53,13.25,9,6,4
39,"KA Smith, AK Lagendijk, AD Courtney, H Chen, S Paterson, BM Hogan, ...","Transmembrane protein 2 (Tmem2) is required to regionally restrict atrioventricular canal boundary and endocardial cushion development",2011,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17369222224992270135",8,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:0EnyYjriUFMC",138,19,4193,4198,39,4.88,6,7,8
29,"K Koltowska, S Paterson, NI Bower, GJ Baillie, AK Lagendijk, JW Astin, ...","mafba is a downstream transcriptional effector of Vegfc signaling essential for embryonic lymphangiogenesis in zebrafish",2015,"Genes & development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3450878220889313532",9,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:Y0pCki6q_DkC",29,15,1618,1630,29,7.25,4,7,4
28,"EJ Kamsteeg, PJM Savelkoul, G Hendriks, IBM Konings, NMI Nivillac, ...","Missorting of the Aquaporin-2 mutant E258K to multivesicular bodies/lysosomes in dominant NDI is associated with its monoubiquitination and increased phosphorylation by PKC but …",2008,"Pflügers Archiv-European Journal of Physiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16616430375962073377",10,"2019-10-04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z2xPsrIAAAAJ&pagesize=100&citation_for_view=z2xPsrIAAAAJ:u5HHmVD_uO8C",455,6,1041,1054,28,2.55,5,6,11
