Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
520,"R Detrano, T Hsiai, S Wang, G Puentes, J Fallavollita, P Shields, ...","Prognostic value of coronary calcification and angiographic stenoses in patients undergoing coronary angiography",1996,"Journal of the American College of Cardiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6771519852798253825",1,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:u5HHmVD_uO8C",27,2,285,290,520,22.61,74,7,23
316,"J Hwang, MH Ing, A Salazar, B Lassègue, K Griendling, M Navab, ...","Pulsatile versus oscillatory shear stress regulates NADPH oxidase subunit expression: implication for native LDL oxidation",2003,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8354182778182922125",2,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:u-x6o8ySG0sC",93,12,1225,1232,316,19.75,45,7,16
147,"TK Hsiai, SK Cho, PK Wong, M Ing, A SEVANIAN, M NAVAB, LL DEMER, ...","Monocyte recruitment to endothelial cells in response to oscillatory shear stress",2003,"The FASEB journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11273909559429219386",3,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:d1gkVwhDpl0C",17,12,1648,1657,147,9.19,18,8,16
107,"TK Hsiai, SK Cho, HM Honda, S Hama, M Navab, LL Demer, CM Ho","Endothelial cell dynamics under pulsating flows: significance of high versus low shear stress slew rates (∂ τ/∂ τ)",2002,"Annals of biomedical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=486750595834812818",4,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:9yKSN-GCB0IC",30,5,646,656,107,6.29,15,7,17
96,"R Li, Z Ning, R Majumdar, J Cui, W Takabe, N Jen, C Sioutas, T Hsiai","Ultrafine particles from diesel vehicle emissions at different driving cycles induce differential vascular pro-inflammatory responses: implication of chemical components and NF …",2010,"Particle and fibre toxicology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16129304728838797916",5,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:qjMakFHDy7sC",7,1,6,6,96,10.67,12,8,9
89,"R Li, Z Ning, J Cui, B Khalsa, L Ai, W Takabe, T Beebe, R Majumdar, ...","Ultrafine particles from diesel engines induce vascular oxidative stress via JNK activation",2009,"Free radical biology and medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15128882222156725107",6,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:zYLM7Y9cAGgC",46,6,775,782,89,8.90,10,9,10
86,"TK Hsiai, J Hwang, ML Barr, A Correa, R Hamilton, M Alavi, ...","Hemodynamics influences vascular peroxynitrite formation: Implication for low-density lipoprotein apo-B-100 nitration",2007,"Free Radical Biology and Medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14151911725074319353",7,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:UeHWp8X0CEIC",42,4,519,529,86,7.17,12,7,12
86,"C Li, B Lei, D Zhang, X Liu, S Han, T Tang, M Rouhanizadeh, T Hsiai, ...","Chemical gating of  nanowires by organic and biomolecules",2003,"Applied Physics Letters","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10216112129137511161",8,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:2osOgNQ5qMEC",83,19,4014,4016,86,5.38,10,9,16
74,"HM Honda, T Hsiai, CM Wortham, M Chen, H Lin, M Navab, LL Demer","A complex flow pattern of low shear stress and flow reversal promotes monocyte binding to endothelial cells",2001,"Atherosclerosis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13205070985564255573",9,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:IjCSPb-OGe4C",158,2,385,390,74,4.11,11,7,18
71,"M Rouhanizadeh, J Hwang, RE Clempus, L Marcu, B Lassegue, ...","Oxidized-1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphorylcholine induces vascular endothelial superoxide production: implication of NADPH oxidase",2005,"Free Radical Biology and Medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18186415068286306464",10,"2019-06-26","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=y4UY8mYAAAAJ&pagesize=100&citation_for_view=y4UY8mYAAAAJ:Tyk-4Ss8FVUC",39,11,1512,1522,71,5.07,12,6,14
