Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
661,"L Jakobsson, CA Franco, K Bentley, RT Collins, B Ponsioen, IM Aspalter, ...","Endothelial cells dynamically compete for the tip cell position during angiogenic sprouting",2010,"Nature cell biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6651750214885565232",1,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:u-x6o8ySG0sC",12,10,943,943,661,73.44,94,7,9
283,"V Guarani, G Deflorian, CA Franco, M Krüger, LK Phng, K Bentley, ...","Acetylation-dependent regulation of endothelial Notch signalling by the SIRT1 deacetylase",2011,"Nature","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9180654439076765325",2,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:2osOgNQ5qMEC",473,7346,234,234,283,35.38,40,7,8
199,"K Bentley, H Gerhardt, PA Bates","Agent-based simulation of notch-mediated tip cell selection in angiogenic sprout initialisation",2008,"Journal of theoretical biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14750431840030318472",3,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:u5HHmVD_uO8C",250,1,25,36,199,18.09,66,3,11
191,"K Bentley, CA Franco, A Philippides, R Blanco, M Dierkes, V Gebala, ...","The role of differential VE-cadherin dynamics in cell rearrangement during angiogenesis",2014,"Nature cell biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7134356432642262702",4,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:KlAtU1dfN6UC",16,4,309,309,191,38.20,27,7,5
165,"K Bentley, G Mariggi, H Gerhardt, PA Bates","Tipping the balance: robustness of tip cell selection, migration and fusion in angiogenesis",2009,"PLoS computational biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11860343016985007182",5,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:9yKSN-GCB0IC",5,10,1000549,,165,16.50,41,4,10
161,"L Jakobsson, K Bentley, H Gerhardt","VEGFRs and Notch: a dynamic collaboration in vascular patterning",2009,"Biochemical Society Transactions","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8422183418253322234",6,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:d1gkVwhDpl0C",37,6,1233,1236,161,16.10,54,3,10
65,"JA Villefranc, S Nicoli, K Bentley, M Jeltsch, G Zarkada, JC Moore, ...","A truncation allele in vascular endothelial growth factor c reveals distinct modes of signaling during lymphatic and vascular development",2013,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6813020444676433107",7,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:Se3iqnhoufwC",140,7,1497,1506,65,10.83,9,7,6
56,"A Carlier, L Geris, K Bentley, G Carmeliet, P Carmeliet, H Van Oosterwyck","MOSAIC: a multiscale model of osteogenesis and sprouting angiogenesis with lateral inhibition of endothelial cells",2012,"PLoS computational biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2417071932548784594",8,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:_FxGoFyzp5QC",8,10,1002724,,56,8.00,9,6,7
47,"LK Phng, V Gebala, K Bentley, A Philippides, A Wacker, T Mathivet, ...","Formin-mediated actin polymerization at endothelial junctions is required for vessel lumen formation and stabilization",2015,"Developmental cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4758627583843899347",9,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:_kc_bZDykSQC",32,1,123,132,47,11.75,7,7,4
46,"B Ubezio, RA Blanco, I Geudens, F Stanchi, T Mathivet, ML Jones, ...","Synchronization of endothelial Dll4-Notch dynamics switch blood vessels from branching to expansion",2016,"Elife","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9601477118686874022",10,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:Wp0gIr-vW9MC",5,,12167,,46,15.33,7,7,3
44,"G Costa, KI Harrington, HE Lovegrove, DJ Page, S Chakravartula, ...","Asymmetric division coordinates collective cell migration in angiogenesis",2016,"Nature cell biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2647991669235313773",11,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:7PzlFSSx8tAC",18,12,1292,1292,44,14.67,7,6,3
40,"X Li, N Padhan, EO Sjöström, FP Roche, C Testini, N Honkura, ...","VEGFR2 pY949 signalling regulates adherens junction integrity and metastatic spread",2016,"Nature communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16428249558101219206",12,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:4DMP91E08xMC",7,,11017,11017,40,13.33,6,7,3
35,"B Cruys, BW Wong, A Kuchnio, D Verdegem, AR Cantelmo, LC Conradi, ...","Glycolytic regulation of cell rearrangement in angiogenesis",2016,"Nature communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14156083658068662753",13,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:QIV2ME_5wuYC",7,,12240,12240,35,11.67,5,7,3
34,"K Bentley, M Jones, B Cruys","Predicting the future: towards symbiotic computational and experimental angiogenesis research",2013,"Experimental cell research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15025349058233493785",14,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:roLk4NBRz8UC",319,9,1240,1246,34,5.67,11,3,6
28,"K Bentley, EJ Cox, PJ Bentley","Nature's batik: a computer evolution model of diatom valve morphogenesis",2005,"Journal of nanoscience and nanotechnology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10682126709092076325",15,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:UeHWp8X0CEIC",5,1,25,34,28,2.00,9,3,14
21,"EJ Cox, L Willis, K Bentley","Integrated simulation with experimentation is a powerful tool for understanding diatom valve morphogenesis",2012,"Biosystems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13404114949475793395",16,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:WF5omc3nYNoC",109,3,450,459,21,3.00,7,3,7
19,"K Bentley, C Clack","Morphological plasticity: Environmentally driven morphogenesis",2005,"European Conference on Artificial Life","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14495113637433203917",17,"2019-05-15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vCDdIT4AAAAJ&pagesize=100&citation_for_view=vCDdIT4AAAAJ:IjCSPb-OGe4C",,,118,127,19,1.36,10,2,14
