Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
308,"BM Hogan, FL Bos, J Bussmann, M Witte, NC Chi, HJ Duckers, ...","ccbe1 is required for embryonic lymphangiogenesis and venous sprouting",2009,"Nature genetics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7578828557025933849",1,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:u5HHmVD_uO8C",41,4,396,396,308,30.80,44,7,10
228,"M Alders, BM Hogan, E Gjini, F Salehi, L Al-Gazali, EA Hennekam, ...","Mutations in CCBE1 cause generalized lymph vessel dysplasia in humans",2009,"Nature genetics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2601260593497152892",2,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:UeHWp8X0CEIC",41,12,1272,1272,228,22.80,33,7,10
160,"BM Hogan, R Herpers, M Witte, H Heloterä, K Alitalo, HJ Duckers, ...","Vegfc/Flt4 signalling is suppressed by Dll4 in developing zebrafish intersegmental arteries",2009,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17193958868312367599",3,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:qjMakFHDy7sC",136,23,4001,4009,160,16.00,23,7,10
108,"I Geudens, R Herpers, K Hermans, I Segura, C Ruiz de Almodovar, ...","Role of delta-like-4/Notch in the formation and wiring of the lymphatic network in zebrafish",2010,"Arteriosclerosis, thrombosis, and vascular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4742899979793045197",4,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:Tyk-4Ss8FVUC",30,9,1695,1702,108,12.00,18,6,9
88,"K Koltowska, KL Betterman, NL Harvey, BM Hogan","Getting out and about: the emergence and morphogenesis of the vertebrate lymphatic vasculature",2013,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14377980745054059919",5,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:M3ejUd6NZC8C",140,9,1857,1870,88,14.67,22,4,6
88,"BM Hogan, J Bussmann, H Wolburg, S Schulte-Merker","ccm1 cell autonomously regulates endothelial cellular morphogenesis and vascular tubulogenesis in zebrafish",2008,"Human molecular genetics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2585578898519481700",6,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:u-x6o8ySG0sC",17,16,2424,2432,88,8.00,22,4,11
82,"L Le Guen, T Karpanen, D Schulte, NC Harris, K Koltowska, G Roukens, ...","Ccbe1 regulates Vegfc-mediated induction of Vegfr3 signaling during embryonic lymphangiogenesis",2014,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6708030928631253980",7,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:L8Ckcad2t8MC",141,6,1239,1249,82,16.40,12,7,5
71,"ML Macheda, WW Sun, K Kugathasan, BM Hogan, NI Bower, MM Halford, ...","The Wnt receptor Ryk plays a role in mammalian planar cell polarity signaling",2012,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13393526352840891055",8,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:kNdYIx-mwKoC",287,35,29312,29323,71,10.14,10,7,7
66,"D Soroldoni, BM Hogan, AC Oates","Simple and efficient transgenesis with meganuclease constructs in zebrafish",2009,"Zebrafish","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16606508043055781167",9,"2019-05-15","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:Y0pCki6q_DkC",,,117,130,66,6.60,22,3,10
62,"K Voss, S Stahl, BM Hogan, J Reinders, E Schleider, S Schulte‐Merker, ...","Functional analyses of human and zebrafish 18–amino acid in‐frame deletion pave the way for domain mapping of the cerebral cavernous malformation 3 protein",2009,"Human mutation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3514921151200543882",10,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zYT0_3kAAAAJ&pagesize=100&citation_for_view=zYT0_3kAAAAJ:zYLM7Y9cAGgC",30,6,1003,1011,62,6.20,9,7,10
