Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
651,"JE Wagenseil, RP Mecham","Vascular extracellular matrix and arterial mechanics",2009,"Physiological reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13090282613453809053",1,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:u5HHmVD_uO8C",89,3,957,989,651,65.10,326,2,10
334,"JE Wagenseil, RP Mecham","New insights into elastic fiber assembly",2007,"Birth Defects Research Part C: Embryo Today: Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7492363613156312202",2,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:u-x6o8ySG0sC",81,4,229,240,334,27.83,167,2,12
217,"JE Wagenseil, RP Mecham","Elastin in large artery stiffness and hypertension",2012,"Journal of cardiovascular translational research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15158741087942212919",3,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:Y0pCki6q_DkC",5,3,264,273,217,31.00,109,2,7
178,"RJ Okamoto, JE Wagenseil, WR DeLong, SJ Peterson, NT Kouchoukos, ...","Mechanical properties of dilated human ascending aorta",2002,"Annals of Biomedical Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12747951872868136376",4,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:d1gkVwhDpl0C",30,5,624,635,178,10.47,30,6,17
159,"JE Wagenseil, NL Nerurkar, RH Knutsen, RJ Okamoto, DY Li, ...","Effects of elastin haploinsufficiency on the mechanical behavior of mouse arteries",2005,"American Journal of Physiology-Heart and Circulatory Physiology 289 (3 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5179291304225503210",5,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:2osOgNQ5qMEC",,,,,159,11.36,27,6,14
151,"BA Kozel, BJ Rongish, A Czirok, J Zach, CD Little, EC Davis, RH Knutsen, ...","Elastic fiber formation: a dynamic view of extracellular matrix assembly using timer reporters",2006,"Journal of cellular physiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=710099337251491837",6,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:9yKSN-GCB0IC",207,1,87,96,151,11.62,19,8,13
106,"GI Zahalak, JE Wagenseil, T Wakatsuki, EL Elson","A cell-based constitutive relation for bio-artificial tissues",2000,"Biophysical journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10417532330746441424",7,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:qjMakFHDy7sC",79,5,2369,2381,106,5.58,27,4,19
98,"JE Wagenseil, CH Ciliberto, RH Knutsen, MA Levy, A Kovacs, ...","Reduced vessel elasticity alters cardiovascular structure and function in newborn mice",2009,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10060859921151439894",8,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:UeHWp8X0CEIC",104,10,1217,1224,98,9.80,16,6,10
66,"L Carta, JE Wagenseil, RH Knutsen, B Mariko, G Faury, EC Davis, ...","Discrete contributions of elastic fiber components to arterial development and mechanical compliance",2009,"Arteriosclerosis, thrombosis, and vascular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4099329742026035250",9,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:Tyk-4Ss8FVUC",29,12,2083,2089,66,6.60,9,7,10
58,"JE Wagenseil, T Wakatsuki, RJ Okamoto, GI Zahalak, EL Elson","One-dimensional viscoelastic behavior of fibroblast populated collagen matrices",2003,"Journal of biomechanical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9720202654732184430",10,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:zYLM7Y9cAGgC",125,5,719,725,58,3.63,12,5,16
55,"VP Le, RH Knutsen, RP Mecham, JE Wagenseil","Decreased aortic diameter and compliance precedes blood pressure increases in postnatal development of elastin-insufficient mice",2011,"American Journal of Physiology-Heart and Circulatory Physiology 301 (1 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=322715764178375948",11,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:YsMSGLbcyi4C",,,,,55,6.88,14,4,8
51,"JE Wagenseil, CH Ciliberto, RH Knutsen, MA Levy, A Kovacs, ...","The importance of elastin to aortic development in mice",2010,"American Journal of Physiology-Heart and Circulatory Physiology 299 (2 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=644448289814500175",12,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:eQOLeE2rZwMC",,,,,51,5.67,9,6,9
50,"JE Wagenseil, LOM Johansson, CH Lorenz","Characterization of T1 relaxation and blood‐myocardial contrast enhancement of NC100150 injection in cardiac MRI",1999,"Journal of Magnetic Resonance Imaging: An Official Journal of the …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8063353087957986900",13,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:IjCSPb-OGe4C",,,,,50,2.50,17,3,20
40,"J Huang, Y Yamashiro, CL Papke, Y Ikeda, Y Lin, M Patel, T Inagami, ...","Angiotensin-converting enzyme–induced activation of local angiotensin signaling is required for ascending aortic aneurysms in fibulin-4–deficient mice",2013,"Science translational medicine 5 (183), 183ra58-183ra","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2476634354879550467",14,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:Se3iqnhoufwC",58,,,,40,6.67,5,8,6
40,"JE Wagenseil, EL Elson, RJ Okamoto","Cell orientation influences the biaxial mechanical properties of fibroblast populated collagen vessels",2004,"Annals of biomedical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=36768310144795638",15,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:W7OEmFMy1HYC",32,5,720,731,40,2.67,13,3,15
34,"JK Cheng, I Stoilov, RP Mecham, JE Wagenseil","A fiber-based constitutive model predicts changes in amount and organization of matrix proteins with development and disease in the mouse aorta",2013,"Biomechanics and modeling in mechanobiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12011824926880108816",16,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:ufrVoPGSRksC",12,3,497,510,34,5.67,9,4,6
31,"JK Cheng, JE Wagenseil","Extracellular matrix and the mechanics of large artery development",2012,"Biomechanics and modeling in mechanobiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14942107111191391883",17,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:roLk4NBRz8UC",11,8,1169,1186,31,4.43,16,2,7
25,"JE Wagenseil","A constrained mixture model for developing mouse aorta",2011,"Biomechanics and modeling in mechanobiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12139003017653205577",18,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:_FxGoFyzp5QC",10,5,671,687,25,3.13,25,1,8
25,"JE Wagenseil, RH Knutsen, DY Li, RP Mecham","Elastin-insufficient mice show normal cardiovascular remodeling in 2K1C hypertension despite higher baseline pressure and unique cardiovascular architecture",2007,"American Journal of Physiology-Heart and Circulatory Physiology 293 (1 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=682797121396060757",19,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:WF5omc3nYNoC",,,,,25,2.08,6,4,12
23,"Y Yamashiro, CL Papke, J Kim, LJ Ringuette, QJ Zhang, ZP Liu, H Mirzaei, ...","Abnormal mechanosensing and cofilin activation promote the progression of ascending aortic aneurysms in mice",2015,"Sci. Signal. 8 (399), ra105-ra","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4635741643237572142",20,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:_Qo2XoVZTnwC",105,,,,23,5.75,3,8,4
21,"H Sugitani, E Hirano, RH Knutsen, A Shifren, JE Wagenseil, C Ciliberto, ...","Alternative splicing and tissue-specific elastin misassembly act as biological modifiers of human elastin gene frameshift mutations associated with dominant cutis laxa",2012,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6651362833504584331",21,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:8k81kl-MbHgC",287,26,22055,22067,21,3.00,3,7,7
0,"M Amin, AG Kunkel, VP Le, JE Wagenseil","Effect of storage duration on the mechanical behavior of mouse carotid artery",2011,"Journal of biomechanical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=743071745194858014",22,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:7PzlFSSx8tAC",133,7,71007,71007,0,0.00,0,4,8
21,"M Amin, AG Kunkel, VP Le, JE Wagenseil","Effect of storage duration on the mechanical behavior of mouse carotid artery",2011,"Journal of biomechanical engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=743071745194858014",23,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:UebtZRa9Y70C",133,7,71007,71007,21,2.63,5,4,8
20,"M Amin, VP Le, JE Wagenseil","Mechanical testing of mouse carotid arteries: from newborn to adult",2012,"JoVE (Journal of Visualized Experiments)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10436742433104185567",24,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=85EVVHQAAAAJ&pagesize=100&citation_for_view=85EVVHQAAAAJ:MXK_kJrjxJIC",,,3733,,20,2.86,7,3,7
