Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
49,"RS Srinivasan, N Escobedo, Y Yang, A Interiano, ME Dillard, ...","The Prox1–Vegfr3 feedback loop maintains the identity and the number of lymphatic endothelial cell progenitors",2014,"Genes & development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5424418714964822112",1,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:u-x6o8ySG0sC",28,19,2175,2187,49,9.80,8,6,5
49,"L Carvallo, R Muñoz, F Bustos, N Escobedo, H Carrasco, G Olivares, ...","Non-canonical Wnt signaling induces ubiquitination and degradation of Syndecan4",2010,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5502933095427644061",2,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:u5HHmVD_uO8C",285,38,29546,29555,49,5.44,7,7,9
31,"N Escobedo, ST Proulx, S Karaman, ME Dillard, N Johnson, M Detmar, ...","Restoration of lymphatic function rescues obesity in Prox1-haploinsufficient mice",2016,"JCI insight","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5387106307531223474",3,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:9yKSN-GCB0IC",1,2,,,31,10.33,4,7,3
31,"N Escobedo, O Contreras, R Muñoz, M Farías, H Carrasco, C Hill, U Tran, ...","Syndecan 4 interacts genetically with Vangl2 to regulate neural tube closure and planar cell polarity",2013,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15817669110912292983",4,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:d1gkVwhDpl0C",140,14,3008,3017,31,5.17,4,8,6
24,"N Escobedo, G Oliver","Lymphangiogenesis: Origin, specification, and cell fate determination",2016,"Annual review of cell and developmental biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16743104253370229062",5,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:2osOgNQ5qMEC",32,,677,691,24,8.00,12,2,3
22,"N Escobedo, G Oliver","The lymphatic vasculature: its role in adipose metabolism and obesity",2017,"Cell metabolism","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9877443658909740639",6,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:Y0pCki6q_DkC",26,4,598,609,22,11.00,11,2,2
3,"LCCL Andrés A. Herrada, Noelia Escobedo, Mirentxu Iruretagoyena, Rodrigo A ...","Innate Immune Cells' Contribution to Systemic Lupus Erythematosus",2019,"Frontiers Immunology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4111252970669646135",7,"2019-10-07","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:YsMSGLbcyi4C",,,,,3,3.00,1,4,1
0,"NE Andrés A. Herrada, Camila Mejías, Rodrigo Lazo-Amador, Alexandra Olate ...","Development of New Serum Biomarkers for Early Lymphedema Detection",2019,"Lymphatic Research and Biology","","","",8,"2019-10-07","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:ufrVoPGSRksC",,,,,0,0.00,0,4,1
0,"C Mejías Flores, N Escobedo Marambio, R Moore Carrasco","Validación de biomarcadores para la detección temprana de linfedema primario y secundario",2017,"Universidad de Talca (Chile)","Escuela de Tecnología Médica.","","",9,"2019-10-07","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:eQOLeE2rZwMC",,,,,0,0.00,0,3,2
0,"OI Contreras Saavedra, N Escobedo, VM Videla, M Farías, H Carrasco, ...","Syndecan 4 interacts genetically with Vangl2 to regulate neural tube closure and planar cell polarity.",2013,"","","","",10,"2019-10-07","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:_FxGoFyzp5QC",,,,,0,0.00,0,6,6
0,"N Escobedo, M Farias, H Carrasco, O Contreras, U Tran, O Wessely, ...","Role of Syndecan-4 in mouse development",2011,"Developmental Biology","","","",11,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:zYLM7Y9cAGgC",356,1,176,177,0,0.00,0,7,8
0,"F Segovia-Miranda, J Parodi, F Serrano, N Escobedo, M Bravo-Zehnder, ...","Anti-P Autoantibodies Enhance Cytosolic Calcium and Neurotransmission in Hippocampal Neurons by Cross-Reacting with Cell Surface NSPA",2011,"MOLECULAR BIOLOGY OF THE CELL","","","",12,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:UeHWp8X0CEIC",22,,,,0,0.00,0,6,8
0,"NA Escobedo, L Carvallo, R Munoz, J Larrain","Non-canonical Wnt signaling regulates the stability of xSyndecan4",2009,"The FASEB Journal 23 (1_supplement), LB27-LB","","","",13,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:Tyk-4Ss8FVUC",27,,,,0,0.00,0,4,10
0,"J Larrain, R Muñoz, F Bustos, N Escobedo, L Carvallo","03-P033 Role of Wnt/PCP in stability and localization of focal adhesion components",2009,"Mechanisms of Development, S76-S","","","",14,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:W7OEmFMy1HYC",77,,,,0,0.00,0,5,10
0,"L Carvallo, R Muñoz, N Escobedo, J Larraín","Role of xSyndecan4 in non-canonical Wnt signaling",2008,"Developmental Biology","","","",15,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:IjCSPb-OGe4C",2,319,525,525,0,0.00,0,4,11
0,"L Carvallo, R Muñoz, N Escobedo, J Larraín","Program/Abstract# 195 Role of xSyndecan4 in non-canonical Wnt signaling",,"","","","",16,"2019-10-07","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=g72OEZ8AAAAJ&pagesize=100&citation_for_view=g72OEZ8AAAAJ:qjMakFHDy7sC",,,,,0,0.00,0,4,
