Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1147,"UH von Andrian, JD Chambers…","Two-step model of leukocyte-endothelial cell interaction in inflammation: distinct roles for LECAM-1 and the leukocyte beta 2 integrins in vivo",1991,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/88/17/7538.short","https://scholar.google.com/scholar?cites=13133621720523569802&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-05","","","","",,,,,1147,40.96,382,3,28
3192,"EC Butcher, LJ Picker","Lymphocyte homing and homeostasis",1996,"Science","science.sciencemag.org","http://science.sciencemag.org/content/272/5258/60.short","https://scholar.google.com/scholar?cites=12707739318306457352&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-05","","","","",,,,,3192,138.78,1596,2,23
3319,"EC Butcher","Leukocyte-endothelial cell recognition: three (or more) steps to specificity and diversity",1991,"Cell","cell.com","https://www.cell.com/cell/pdf/0092-8674(91)90279-8.pdf","https://scholar.google.com/scholar?cites=5440142710407996380&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-05","","","","",,,,,3319,118.54,3319,1,28
1001,"LJ Picker, TK Kishimoto, CW Smith, RA Warnock…","ELAM-1 is an adhesion molecule for skin-homing T cells",1991,"Nature","nature.com","https://www.nature.com/articles/349796a0","https://scholar.google.com/scholar?cites=17893080896798149912&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-05","","","","",,,,,1001,35.75,200,5,28
522,"TK Kishimoto, MA Jutila…","Identification of a human peripheral lymph node homing receptor: a rapidly down-regulated adhesion molecule",1990,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/87/6/2244.short","https://scholar.google.com/scholar?cites=3933743761127036974&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-05","","","","",,,,,522,18.00,174,3,29
730,"KB Goralski, TC McCarthy, EA Hanniman…","Chemerin, a novel adipokine that regulates adipogenesis and adipocyte metabolism",2007,"Journal of Biological …","ASBMB","http://www.jbc.org/content/282/38/28175.short","https://scholar.google.com/scholar?cites=15510597844726559031&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-05","","","","",,,,,730,60.83,183,4,12
1754,"WM Gallatin, IL Weissman, EC Butcher","A cell-surface molecule involved in organ-specific homing of lymphocytes",1983,"Nature","nature.com","https://www.nature.com/articles/304030a0","https://scholar.google.com/scholar?cites=15005505988345069706&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-05","","","","",,,,,1754,48.72,585,3,36
622,"LJ Picker, SA Michie, LS Rott…","A unique phenotype of skin-associated lymphocytes in humans. Preferential expression of the HECA-452 epitope by benign and malignant T cells at cutaneous sites.",1990,"The American journal of …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1877421/","https://scholar.google.com/scholar?cites=3495047757145182457&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-05","","","","",,,,,622,21.45,156,4,29
629,"M Briskin, D Winsor-Hines, A Shyjan…","Human mucosal addressin cell adhesion molecule-1 is preferentially expressed in intestinal tract and associated lymphoid tissue.",1997,"The American journal …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1857942/","https://scholar.google.com/scholar?cites=17919156450333666569&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-05","","","","",,,,,629,28.59,157,4,22
822,"PR Streeter, EL Berg, BTN Rouse, RF Bargatze…","A tissue-specific endothelial cell molecule involved in lymphocyte homing",1988,"Nature","nature.com","https://www.nature.com/articles/331041a0","https://scholar.google.com/scholar?cites=5356179941658405727&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-05","","","","",,,,,822,26.52,164,5,31
387,"DJ Erle, MJ Briskin, EC Butcher…","Expression and function of the MAdCAM-1 receptor, integrin alpha 4 beta 7, on human leukocytes.",1994,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/153/2/517.short","https://scholar.google.com/scholar?cites=14625711762683504821&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-05","","","","",,,,,387,15.48,97,4,25
549,"RF Bargatze, MA Jutila, EC Butcher","Distinct roles of L-selectin and integrins α4β7 and LFA-1 in lymphocyte homing to Peyer's patch-HEV in situ: the multistep model confirmed and refined",1995,"Immunity","Elsevier","https://www.sciencedirect.com/science/article/pii/1074761395901620","https://scholar.google.com/scholar?cites=1393258311420104056&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-05","","","","",,,,,549,22.88,183,3,24
188,"MB Williams, EC Butcher","Homing of naive and memory T lymphocyte subsets to Peyer's patches, lymph nodes, and spleen.",1997,"The Journal of Immunology","Am Assoc Immnol","http://www.jimmunol.org/content/159/4/1746.short","https://scholar.google.com/scholar?cites=6342600687483598061&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-05","","","","",,,,,188,8.55,94,2,22
273,"H Hadeiba, T Sato, A Habtezion, C Oderup, J Pan…","CCR9 expression defines tolerogenic plasmacytoid dendritic cells able to suppress acute graft-versus-host disease",2008,"Nature …","nature.com","https://www.nature.com/ni/journal/v9/n11/abs/ni.1658.html","https://scholar.google.com/scholar?cites=7714941167642021462&as_sdt=800005&sciodt=0,15&hl=en",14,"2019-06-05","","","","",,,,,273,24.82,46,6,11
474,"ST Jalkanen, RF Bargatze, LR Herron…","A lymphoid cell surface glycoprotein involved in endothelial cell recognition and lymphocyte homing in man",1986,"European journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eji.1830161003","https://scholar.google.com/scholar?cites=5985123874611853159&as_sdt=800005&sciodt=0,15&hl=en",15,"2019-06-05","","","","",,,,,474,14.36,119,4,33
159,"LS Rott, JR Rosé, D Bass, MB Williams…","Expression of mucosal homing receptor alpha4beta7 by circulating CD4+ cells with memory for intestinal rotavirus.",1997,"The Journal of …","Am Soc Clin Investig","https://www.jci.org/articles/view/119633","https://scholar.google.com/scholar?cites=3796959247027591834&as_sdt=800005&sciodt=0,15&hl=en",16,"2019-06-05","","","","",,,,,159,7.23,32,5,22
418,"M Bevilacqua, E Butcher, B Furie, B Furie, M Gallatin…","Selectins: a family of adhesion receptors",1991,"Cell","cell.com","https://www.cell.com/cell/pdf/0092-8674(91)90174-W.pdf","https://scholar.google.com/scholar?cites=590344903403176785&as_sdt=800005&sciodt=0,15&hl=en",17,"2019-06-05","","","","",,,,,418,14.93,70,6,28
313,"RF Bargatze, S Kurk, EC Butcher…","Neutrophils roll on adherent neutrophils bound to cytokine-induced endothelial cells via L-selectin on the rolling cells.",1994,"… of Experimental Medicine","jem.rupress.org","http://jem.rupress.org/content/180/5/1785.abstract","https://scholar.google.com/scholar?cites=17406987108076896424&as_sdt=800005&sciodt=0,15&hl=en",18,"2019-06-05","","","","",,,,,313,12.52,78,4,25
719,"A Hamann, DP Andrew…","Role of alpha 4-integrins in lymphocyte homing to mucosal tissues in vivo.",1994,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/152/7/3282.short","https://scholar.google.com/scholar?cites=348911774600844912&as_sdt=800005&sciodt=0,15&hl=en",19,"2019-06-05","","","","",,,,,719,28.76,240,3,25
307,"S Hemmerich, EC Butcher, SD Rosen","Sulfation-dependent recognition of high endothelial venules (HEV)-ligands by L-selectin and MECA 79, and adhesion-blocking monoclonal antibody.",1994,"… of Experimental Medicine","jem.rupress.org","http://jem.rupress.org/content/180/6/2219.abstract","https://scholar.google.com/scholar?cites=167331025375262411&as_sdt=800005&sciodt=0,15&hl=en",20,"2019-06-05","","","","",,,,,307,12.28,102,3,25
282,"EC Butcher","Warner-Lambert/Parke-Davis Award lecture. Cellular and molecular mechanisms that direct leukocyte traffic.",1990,"The American journal of pathology","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1877462/","https://scholar.google.com/scholar?cites=4067095697344486002&as_sdt=800005&sciodt=0,15&hl=en",21,"2019-06-05","","","","",,,,,282,9.72,282,1,29
193,"P Sriramarao, UH von Andrian…","L-selectin and very late antigen-4 integrin promote eosinophil rolling at physiological shear rates in vivo.",1994,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/153/9/4238.short","https://scholar.google.com/scholar?cites=6304396913601624350&as_sdt=800005&sciodt=0,15&hl=en",22,"2019-06-05","","","","",,,,,193,7.72,64,3,25
644,"PR Streeter, BT Rouse, EC Butcher","Immunohistologic and functional characterization of a vascular addressin involved in lymphocyte homing into peripheral lymph nodes.",1988,"The Journal of cell biology","jcb.rupress.org","http://jcb.rupress.org/content/107/5/1853.abstract","https://scholar.google.com/scholar?cites=1479908174500940452&as_sdt=800005&sciodt=0,15&hl=en",23,"2019-06-05","","","","",,,,,644,20.77,215,3,31
299,"LJ Picker, LW Terstappen, LS Rott…","Differential expression of homing-associated adhesion molecules by T cell subsets in man.",1990,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/145/10/3247.short","https://scholar.google.com/scholar?cites=3486293588363835872&as_sdt=800005&sciodt=0,15&hl=en",24,"2019-06-05","","","","",,,,,299,10.31,75,4,29
348,"FGM Kroese, EC Butcher, AM Stall…","Many of the IgA producing plasma cells in murine gut are derived from self-replenishing precursors in the peritoneal cavity",1989,"International …","academic.oup.com","https://academic.oup.com/intimm/article-abstract/1/1/75/774399","https://scholar.google.com/scholar?cites=3499511510581710528&as_sdt=800005&sciodt=0,15&hl=en",25,"2019-06-05","","","","",,,,,348,11.60,87,4,30
612,"EL Berg, LM McEvoy, C Berlin, RF Bargatze…","L-selectin-mediated lymphocyte rolling on MAdCAM-1",1993,"Nature","nature.com","https://www.nature.com/articles/366695a0","https://scholar.google.com/scholar?cites=10027158111606958286&as_sdt=800005&sciodt=0,15&hl=en",26,"2019-06-05","","","","",,,,,612,23.54,122,5,26
200,"LS Rott, MJ Briskin, DP Andrew, EL Berg…","A fundamental subdivision of circulating lymphocytes defined by adhesion to mucosal addressin cell adhesion molecule-1. Comparison with vascular cell adhesion …",1996,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/156/10/3727.short","https://scholar.google.com/scholar?cites=14831521168388323160&as_sdt=800005&sciodt=0,15&hl=en",27,"2019-06-05","","","","",,,,,200,8.70,40,5,23
594,"RG Scollay, EC Butcher…","Thymus cell migration: quantitative aspects of cellular traffic from the thymus to the periphery in mice",1980,"European journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eji.1830100310","https://scholar.google.com/scholar?cites=5071749858978522561&as_sdt=800005&sciodt=0,15&hl=en",28,"2019-06-05","","","","",,,,,594,15.23,198,3,39
232,"EL Berg, J Magnani, RA Warnock, MK Robinson…","Comparison of L-selectin and E-selectin ligand specificities: the L-selectin can bind the E-selectin ligands sialyl Lex and sialyl Lea",1992,"Biochemical and …","Elsevier","https://www.sciencedirect.com/science/article/pii/0006291X9290697J","https://scholar.google.com/scholar?cites=2786993035898788277&as_sdt=800005&sciodt=0,15&hl=en",29,"2019-06-05","","","","",,,,,232,8.59,46,5,27
275,"B Johnston, EC Butcher","Chemokines in rapid leukocyte adhesion triggering and migration",2002,"Seminars in immunology","Elsevier","https://www.sciencedirect.com/science/article/pii/S1044532301903458","https://scholar.google.com/scholar?cites=11540428024103924805&as_sdt=800005&sciodt=0,15&hl=en",30,"2019-06-05","","","","",,,,,275,16.18,138,2,17
193,"LJ Picker, J De los Toyos, MJ Telen…","Monoclonal antibodies against the CD44 [In (Lu)-related p80], and Pgp-1 antigens in man recognize the Hermes class of lymphocyte homing receptors.",1989,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/142/6/2046.short","https://scholar.google.com/scholar?cites=5031744589285805349&as_sdt=800005&sciodt=0,15&hl=en",31,"2019-06-05","","","","",,,,,193,6.43,48,4,30
120,"MC Ernst, ID Haidl, LA Zúñiga, HJ Dranse…","Disruption of the chemokine-like receptor-1 (CMKLR1) gene is associated with reduced adiposity and glucose intolerance",2012,"…","academic.oup.com","https://academic.oup.com/endo/article-abstract/153/2/672/2424412","https://scholar.google.com/scholar?cites=9804176218885161936&as_sdt=800005&sciodt=0,15&hl=en",32,"2019-06-05","","","","",,,,,120,17.14,24,5,7
303,"SK Stevens, IL Weissman…","Differences in the migration of B and T lymphocytes: organ-selective localization in vivo and the role of lymphocyte-endothelial cell recognition.",1982,"The journal of immunology","Am Assoc Immnol","http://www.jimmunol.org/content/128/2/844.short","https://scholar.google.com/scholar?cites=13321034576975485155&as_sdt=800005&sciodt=0,15&hl=en",33,"2019-06-05","","","","",,,,,303,8.19,101,3,37
345,"BA Zabel, SJ Allen, P Kulig, JA Allen, J Cichy…","Chemerin activation by serine proteases of the coagulation, fibrinolytic, and inflammatory cascades",2005,"Journal of Biological …","ASBMB","http://www.jbc.org/content/280/41/34661.short","https://scholar.google.com/scholar?cites=14607005222632430716&as_sdt=800005&sciodt=0,15&hl=en",34,"2019-06-05","","","","",,,,,345,24.64,58,6,14
329,"LJ Picker, M Nakache, EC Butcher","Monoclonal antibodies to human lymphocyte homing receptors define a novel class of adhesion molecules on diverse cell types.",1989,"The Journal of cell biology","jcb.rupress.org","http://jcb.rupress.org/content/109/2/927.abstract","https://scholar.google.com/scholar?cites=14131652186082938859&as_sdt=800005&sciodt=0,15&hl=en",35,"2019-06-05","","","","",,,,,329,10.97,110,3,30
418,"M Culty, K Miyake, PW Kincade, E Sikorski…","The hyaluronate receptor is a member of the CD44 (H-CAM) family of cell surface glycoproteins.",1990,"The Journal of cell …","jcb.rupress.org","http://jcb.rupress.org/content/111/6/2765.abstract","https://scholar.google.com/scholar?cites=5965319384296221222&as_sdt=800005&sciodt=0,15&hl=en",36,"2019-06-05","","","","",,,,,418,14.41,84,5,29
209,"RE Mebius, PR Streeter, S Michie…","A developmental switch in lymphocyte homing receptor and endothelial vascular addressin expression regulates lymphocyte homing and permits CD4+ CD3-cells to …",1996,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/93/20/11019.short","https://scholar.google.com/scholar?cites=10441285021230514235&as_sdt=800005&sciodt=0,15&hl=en",37,"2019-06-05","","","","",,,,,209,9.09,52,4,23
399,"EC Butcher, RG Scollay…","Organ specificity of lymphocyte migration: mediation by highly selective lymphocyte interaction with organ‐specific determinants on high endothelial venules",1980,"European journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eji.1830100713","https://scholar.google.com/scholar?cites=15641606695261803311&as_sdt=800005&sciodt=0,15&hl=en",38,"2019-06-05","","","","",,,,,399,10.23,133,3,39
399,"PF Fabene, GN Mora, M Martinello, B Rossi, F Merigo…","A role for leukocyte-endothelial adhesion mechanisms in epilepsy",2008,"Nature medicine","nature.com","https://www.nature.com/nm/journal/v14/n12/abs/nm.1878.html","https://scholar.google.com/scholar?cites=7359390497678960321&as_sdt=800005&sciodt=0,15&hl=en",39,"2019-06-05","","","","",,,,,399,36.27,67,6,11
218,"AC Steere, PH Duray, EC Butcher","Spirochetal antigens and lymphoid cell surface markers in Lyme synovitis",1988,"Arthritis & Rheumatism","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780310405","https://scholar.google.com/scholar?cites=15782797028391904180&as_sdt=800005&sciodt=0,15&hl=en",40,"2019-06-05","","","","",,,,,218,7.03,73,3,31
224,"EJ Kunkel, DJ Campbell, EC Butcher","Chemokines in lymphocyte trafficking and intestinal immunity",2003,"Microcirculation","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/mic.10.3-4.313.323","https://scholar.google.com/scholar?cites=1850866788516209348&as_sdt=800005&sciodt=0,15&hl=en",41,"2019-06-05","","","","",,,,,224,14.00,75,3,16
223,"C Laudanna, JJ Campbell, EC Butcher","Elevation of intracellular cAMP inhibits RhoA activation and integrin-dependent leukocyte adhesion induced by chemoattractants",1997,"Journal of Biological Chemistry","ASBMB","http://www.jbc.org/content/272/39/24141.short","https://scholar.google.com/scholar?cites=12754422122357101555&as_sdt=800005&sciodt=0,15&hl=en",42,"2019-06-05","","","","",,,,,223,10.14,74,3,22
627,"EL Berg, T Yoshino, LS Rott, MK Robinson…","The cutaneous lymphocyte antigen is a skin lymphocyte homing receptor for the vascular lectin endothelial cell-leukocyte adhesion molecule 1.",1991,"… Medicine","jem.rupress.org","http://jem.rupress.org/content/174/6/1461.abstract","https://scholar.google.com/scholar?cites=4977587793008346761&as_sdt=800005&sciodt=0,15&hl=en",43,"2019-06-05","","","","",,,,,627,22.39,125,5,28
373,"C Rüegg, AA Postigo, EE Sikorski…","Role of integrin alpha 4 beta 7/alpha 4 beta P in lymphocyte adherence to fibronectin and VCAM-1 and in homotypic cell clustering",1992,"The Journal of cell …","jcb.rupress.org","http://jcb.rupress.org/content/117/1/179.abstract","https://scholar.google.com/scholar?cites=11960752001627213622&as_sdt=800005&sciodt=0,15&hl=en",44,"2019-06-05","","","","",,,,,373,13.81,93,4,27
354,"EL Berg, LA Goldstein, MA Jimla…","Homing receptors and vascular addressins: cell adhesion molecules that direct lymphocyte traffic",1989,"Immunological …","Wiley Online Library","https://jlb.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1600-065X.1989.tb00010.x","https://scholar.google.com/scholar?cites=7876636587224676033&as_sdt=800005&sciodt=0,15&hl=en",45,"2019-06-05","PDF","","","",,,,,354,11.80,89,4,30
