Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
67,"J Shen, Y Ishii, G Xu, TC Dang…","PDGFR-β as a positive regulator of tissue repair in a mouse model of focal cerebral ischemia",2012,"Journal of Cerebral …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1038/jcbfm.2011.136","https://scholar.google.com/scholar?cites=11367303920647212752&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-27","","","","",,,,,67,9.57,13,5,7
16,"H Sato, Y Ishii, S Yamamoto, E Azuma…","PDGFR‐β Plays a Key Role in the Ectopic Migration of Neuroblasts in Cerebral Stroke",2016,"Stem …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/pdf/10.1002/stem.2212","https://scholar.google.com/scholar?cites=16950729495167233715&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-27","PDF","","","",,,,,16,5.33,3,5,3
13,"K Saito, H Nakaoka, I Takasaki, K Hirono…","MicroRNA-93 may control vascular endothelial growth factor A in circulating peripheral blood mononuclear cells in acute Kawasaki disease",2016,"Pediatric …","nature.com","https://www.nature.com/articles/pr201693","https://scholar.google.com/scholar?cites=283548144618288047&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-27","","","","",,,,,13,4.33,3,5,3
8,"K Ogura, M Sato-Matsushita, S Yamamoto, T Hori…","NK cells control tumor-promoting function of neutrophils in mice",2018,"Cancer immunology …","AACR","http://cancerimmunolres.aacrjournals.org/content/early/2018/01/23/2326-6066.cir-17-0204.abstract","https://scholar.google.com/scholar?cites=1462461981242449379&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-27","","","","",,,,,8,8.00,2,5,1
3,"TC Dang, Y Ishii, VD Nguyen, S Yamamoto…","Powerful Homeostatic Control of Oligodendroglial Lineage by PDGFR alpha in Adult Brain",2019,"Cell reports","diva-portal.org","http://www.diva-portal.org/smash/record.jsf?pid=diva2:1313692","https://scholar.google.com/scholar?cites=10648307267194275517&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-27","","","","",,,,,3,3.00,1,5,1
3,"H Nakaoka, K Hirono, S Yamamoto, I Takasaki…","MicroRNA-145-5p and microRNA-320a encapsulated in endothelial microparticles contribute to the progression of vasculitis in acute Kawasaki Disease",2018,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-018-19310-4","https://scholar.google.com/scholar?cites=8078731436809514096&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-27","HTML","","","",,,,,3,3.00,1,5,1
3,"J Shen, G Xu, R Zhu, J Yuan, Y Ishii…","PDGFR-β restores blood-brain barrier functions in a mouse model of focal cerebral ischemia",2018,"Journal of Cerebral …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0271678X18769515","https://scholar.google.com/scholar?cites=8828170306841777877&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-27","","","","",,,,,3,3.00,1,6,1
0,"K Yamada, T Hamashima, Y Ishii…","Different PDGF Receptor Dimers Drive Distinct Migration Modes of the Mouse Skin Fibroblast",2018,"Cellular Physiology and …","karger.com","https://www.karger.com/Article/Abstract/495594","",8,"2019-06-27","","","","",,,,,0,0.00,0,4,1
0,"TC Đặng, Y Ishii, V De Nguyen, S Yamamoto…","Powerful Homeostatic Control of Oligodendroglial Lineage by PDGFRα in Adult Brain",2019,"Cell reports","Elsevier","https://www.sciencedirect.com/science/article/pii/S2211124719304231","",9,"2019-06-27","HTML","","","",,,,,0,0.00,0,5,1
