Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
102,"SK Lee, GS Kim, Y Wu, DJ Kim, Y Lu, M Kwak, L Han, JH Hyung, JK Seol, ...","Nanowire substrate-based laser scanning cytometry for quantitation of circulating tumor cells",2012,"Nano letters","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8465179067485314664",1,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:d1gkVwhDpl0C",12,6,2697,2704,102,14.57,10,10,7
62,"V Njike, Z Faridi, S Dutta, AL Gonzalez-Simon, DL Katz","Daily egg consumption in hyperlipidemic adults-Effects on endothelial function and cardiovascular risk",2010,"Nutrition Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10142754574809939843",2,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:0EnyYjriUFMC",9,1,28,28,62,6.89,12,5,9
57,"DL Katz, M Murimi, A Gonzalez, V Njike, LW Green","From controlled trial to community adoption: the multisite translational community trial",2011,"American Journal of Public Health 101 (8), e17-","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4508614227643957376",3,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:u-x6o8ySG0sC",,,27,,57,7.13,11,5,8
57,"AL Gonzalez, AS Gobin, JL West, LV McIntire, CW Smith","Integrin interactions with immobilized peptides in polyethylene glycol diacrylate hydrogels",2004,"Tissue engineering 10 (11-12)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5341414835393728986",4,"2019-05-15","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:u5HHmVD_uO8C",,,1775,1786,57,3.80,11,5,15
43,"CE Ayres-Sander, H Lauridsen, CL Maier, P Sava, JS Pober, ...","Transendothelial migration enables subsequent transmigration of neutrophils through underlying pericytes",2013,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=27063896225026164",5,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:2osOgNQ5qMEC",8,3,60025,,43,7.17,7,6,6
31,"C Ryu, H Sun, M Gulati, JD Herazo-Maya, Y Chen, A Osafo-Addo, ...","Extracellular mitochondrial DNA is generated by fibroblasts and predicts death in idiopathic pulmonary fibrosis",2017,"American journal of respiratory and critical care medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4374530194072598276",6,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:ZeXyd9-uunAC",196,12,1571,1581,31,15.50,4,7,2
30,"AL Gonzalez, W El‐Bjeirami, JL West, LV McIntire, CW Smith","Transendothelial migration enhances integrin‐dependent human neutrophil chemokinesis",2007,"Journal of leukocyte biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9202284540964448256",7,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:9yKSN-GCB0IC",81,3,686,695,30,2.50,6,5,12
20,"H Sun, Y Zhu, H Pan, X Chen, JL Balestrini, TKT Lam, JE Kanyo, ...","Netrin‐1 Regulates Fibrocyte Accumulation in the Decellularized Fibrotic Sclerodermatous Lung Microenvironment and in Bleomycin‐Induced Pulmonary Fibrosis",2016,"Arthritis & Rheumatology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4709907041763208253",8,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:ULOm3_A8WrAC",68,5,1251,1261,20,6.67,3,8,3
19,"KMT Pu, P Sava, AL Gonzalez","Microvascular targets for anti-fibrotic therapeutics",2013,"The Yale journal of biology and medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9607072387318322259",9,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:IjCSPb-OGe4C",86,4,537,537,19,3.17,6,3,6
19,"J Padmanabhan, AL Gonzalez","The Effects of Extracellular Matrix Proteins on Neutrophil-Endothelial Interaction―A Roadway To Multiple Therapeutic Opportunities",2012,"The Yale journal of biology and medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=542183120014833006",10,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LRkgt_UAAAAJ&pagesize=100&citation_for_view=LRkgt_UAAAAJ:qjMakFHDy7sC",85,2,167,167,19,2.71,10,2,7
