Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
55,"I Choi, S Lee, H Kyoung Chung, Y Suk Lee, K Eui Kim…","9-cis retinoic acid promotes lymphangiogenesis and enhances lymphatic vessel regeneration: therapeutic implications of 9-cis retinoic acid for secondary …",2012,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.111.030296","https://scholar.google.com/scholar?cites=15889072270599793796&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-10","","","","",,,,,55,7.86,9,6,7
50,"DY Little, L Chen","Identification of coevolving residues and coevolution potentials emphasizing structure, bond formation and catalytic coordination in protein evolution",2009,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0004762","https://scholar.google.com/scholar?cites=5165663746488956171&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-10","HTML","","","",,,,,50,5.00,25,2,10
48,"M Nakamura, L Chen, SC Howes, TD Schindler…","Remote control of myosin and kinesin motors using light-activated gearshifting",2014,"Nature …","nature.com","https://www.nature.com/nnano/journal/v9/n9/abs/nnano.2014.147.html","https://scholar.google.com/scholar?cites=3749997375177421554&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-10","","","","",,,,,48,9.60,10,5,5
49,"L Chen, MCY Huang, CFR Mateus…","Fabrication and design of an integrable subwavelength ultrabroadband dielectric mirror",2006,"Applied physics …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.2164920","https://scholar.google.com/scholar?cites=4798707721095818660&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-10","","","","",,,,,49,3.77,12,4,13
49,"F Schroedl, A Kaser-Eichberger…","Consensus statement on the immunohistochemical detection of ocular lymphatic vessels",2014,"… & visual science","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2166463","https://scholar.google.com/scholar?cites=18016164237096429217&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-10","HTML","","","",,,,,49,9.80,16,3,5
20,"T Truong, E Altiok, D Yuen, T Ecoiffier, L Chen","Novel characterization of lymphatic valve formation during corneal inflammation",2011,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021918","https://scholar.google.com/scholar?cites=6806408689368377161&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-10","HTML","","","",,,,,20,2.50,4,5,8
47,"T Ecoiffier, D Yuen, L Chen","Differential distribution of blood and lymphatic vessels in the murine cornea",2010,"Investigative ophthalmology & …","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2185970","https://scholar.google.com/scholar?cites=2564647971267581&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-10","HTML","","","",,,,,47,5.22,16,3,9
36,"TN Truong, H Li, YK Hong, L Chen","Novel characterization and live imaging of Schlemm's canal expressing Prox-1",2014,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0098245","https://scholar.google.com/scholar?cites=14123151779949237439&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-10","HTML","","","",,,,,36,7.20,9,4,5
28,"D Yuen, B Pytowski, L Chen","Combined blockade of VEGFR-2 and VEGFR-3 inhibits inflammatory lymphangiogenesis in early and middle stages",2011,"Investigative ophthalmology & …","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2127437","https://scholar.google.com/scholar?cites=8795900790123351697&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-10","HTML","","","",,,,,28,3.50,9,3,8
304,"CI Nam, L Chen","Postsynaptic assembly induced by neurexin-neuroligin interaction and neurotransmitter",2005,"Proceedings of the National Academy of …","National Acad Sciences","https://www.pnas.org/content/102/17/6137.short","https://scholar.google.com/scholar?cites=8065952215161779839&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-10","","","","",,,,,304,21.71,152,2,14
24,"TE Tracy, JJ Yan, L Chen","Acute knockdown of AMPA receptors reveals a trans‐synaptic signal for presynaptic maturation",2011,"The EMBO journal","emboj.embopress.org","http://emboj.embopress.org/content/30/8/1577.abstract","https://scholar.google.com/scholar?cites=5898260651426932046&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-10","","","","",,,,,24,3.00,8,3,8
24,"H Zhang, X Hu, J Tse, F Tilahun…","Spontaneous lymphatic vessel formation and regression in the murine cornea",2011,"… & visual science","tvst.arvojournals.org","https://tvst.arvojournals.org/article.aspx?articleid=2126702","https://scholar.google.com/scholar?cites=13363511031608929371&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-10","HTML","","","",,,,,24,3.00,5,5,8
19,"CSHXJ Lu, JAL Jie","Tracking control and synchronization of the R ssler's chaotic system [J]",2002,"Acta Physica Sinica","en.cnki.com.cn","http://en.cnki.com.cn/Article_en/CJFDTOTAL-WLXB200204008.htm","https://scholar.google.com/scholar?cites=16936549718685369108&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-10","","","","",,,,,19,1.12,10,2,17
