Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
443,"L Zhang, S Zhang, J Yao, FJ Lowery, Q Zhang…","Microenvironment-induced PTEN loss by exosomal microRNA primes brain metastasis outgrowth",2015,"Nature","nature.com","https://www.nature.com/articles/nature15376","https://scholar.google.com/scholar?cites=12345336424988878709&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-21","","","","",,,,,443,110.75,74,6,4
418,"NC Henderson, TD Arnold, Y Katamura…","Targeting of αv integrin identifies a core molecular pathway that regulates fibrosis in several organs",2013,"Nature medicine","nature.com","https://www.nature.com/nm/journal/v19/n12/abs/nm.3282.html","https://scholar.google.com/scholar?cites=8749949890785493463&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-21","","","","",,,,,418,69.67,105,4,6
196,"JH McCarty, A Lacy-Hulbert, A Charest…","Selective ablation of αv integrins in the central nervous system leads to cerebral hemorrhage, seizures, axonal degeneration and premature death",2005,"…","dev.biologists.org","http://dev.biologists.org/content/132/1/165.short","https://scholar.google.com/scholar?cites=890175362056066834&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-21","","","","",,,,,196,14.00,49,4,14
183,"B Esmaeli-Azad, JH McCarty…","Sense and antisense transfection analysis of tau function: tau influences net microtubule assembly, neurite outgrowth and neuritic stability",1994,"Journal of cell …","jcs.biologists.org","http://jcs.biologists.org/content/107/4/869.short","https://scholar.google.com/scholar?cites=15921698199165980262&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-21","","","","",,,,,183,7.32,61,3,25
164,"JH McCarty, RA Monahan-Earley…","Defective associations between blood vessels and brain parenchyma lead to cerebral hemorrhage in mice lacking αv integrins",2002,"… and cellular biology","Am Soc Microbiol","https://mcb.asm.org/content/22/21/7667.short","https://scholar.google.com/scholar?cites=12067518486157467677&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-21","","","","",,,,,164,9.65,55,3,17
139,"RO Hynes, JC Lively, JH McCarty…","The diverse roles of integrins and their ligands in angiogenesis",2002,"Cold Spring Harbor …","symposium.cshlp.org","http://symposium.cshlp.org/content/67/143.short","https://scholar.google.com/scholar?cites=5804147207724006913&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-21","","","","",,,,,139,8.18,35,4,17
110,"JH McCarty","The Nck SH2/SH3 adaptor protein: a regulator of multiple intracellular signal transduction events",1998,"Bioessays","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1521-1878(199811)20:11%3C913::AID-BIES6%3E3.0.CO;2-T","https://scholar.google.com/scholar?cites=16969290923661354264&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-21","","","","",,,,,110,5.24,110,1,21
80,"AK Mobley, JH Tchaicha, J Shin, MG Hossain…","β8 integrin regulates neurogenesis and neurovascular homeostasis in the adult brain",2009,"Journal of cell …","jcs.biologists.org","http://jcs.biologists.org/content/122/11/1842.short","https://scholar.google.com/scholar?cites=8657694037457952957&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-21","","","","",,,,,80,8.00,16,5,10
75,"JH Tchaicha, SB Reyes, J Shin, MG Hossain, FF Lang…","Glioblastoma angiogenesis and tumor cell invasiveness are differentially regulated by β8 integrin",2011,"Cancer research","AACR","http://cancerres.aacrjournals.org/content/71/20/6371.short","https://scholar.google.com/scholar?cites=1843780663439934032&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-21","","","","",,,,,75,9.38,13,6,8
66,"HL Nguyen, YJ Lee, J Shin, E Lee, SO Park…","TGF-β signaling in endothelial cells, but not neuroepithelial cells, is essential for cerebral vascular development",2011,"Laboratory …","nature.com","https://www.nature.com/articles/doi:10.1038%2Flabinvest.2011.124","https://scholar.google.com/scholar?cites=13938038309012089845&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-21","","","","",,,,,66,8.25,11,6,8
