Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
4335,"EJ Benjamin, MJ Blaha, SE Chiuve, M Cushman, SR Das, R Deo, J Floyd, ...","Heart disease and stroke statistics-2017 update: a report from the American Heart Association.",2017,"Circulation 135 (10), e146-","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12750599967268488540,8973070304884454513,860026629405589317,6574310341435232532,12519183566482296281",1,"2019-05-16","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:sNmaIFBj_lkC",,,603,,4335,2167.50,542,8,2
1140,"EJ Benjamin, MJ Blaha, SE Chiuve, M Cushman, SR Das, R Deo, ...","American Heart Association statistics committee and stroke statistics subcommittee",2017,"Heart disease and stroke statistics-2017 update: a report from the American …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14100364970459236610,296548341301487510",2,"2019-05-16","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:NXb4pA-qfm4C",,,,,1140,570.00,163,7,2
542,"NM Rajamannan, FJ Evans, E Aikawa, KJ Grande-Allen, LL Demer, ...","Calcific aortic valve disease: not simply a degenerative process a review and agenda for research from the National Heart and Lung and Blood Institute Aortic Stenosis Working Group",2011,"Circulation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17735687803575661377",3,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:4JMBOYKVnBMC",124,16,1783,1783,542,67.75,90,6,8
427,"CA Simmons, E Alsberg, S Hsiong, WJ Kim, DJ Mooney","Dual growth factor delivery and controlled scaffold degradation enhance in vivo bone formation by transplanted bone marrow stromal cells",2004,"Bone","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8091333960871786705",4,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:u-x6o8ySG0sC",35,2,562,569,427,28.47,85,5,15
337,"CA Simmons, S Matlis, AJ Thornton, S Chen, CY Wang, DJ Mooney","Cyclic strain enhances matrix mineralization by adult human mesenchymal stem cells via the extracellular signal-regulated kinase (ERK1/2) signaling pathway",2003,"Journal of biomechanics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3255933661772555606",5,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:u5HHmVD_uO8C",36,8,1087,1096,337,21.06,56,6,16
325,"CR Ethier, CA Simmons","Introductory biomechanics: from cells to organisms",2007,"","Cambridge University Press","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17230534755634354575",6,"2019-05-16","Book","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:Y0pCki6q_DkC",,,,,325,27.08,163,2,12
290,"CYY Yip, JH Chen, R Zhao, CA Simmons","Calcification by valve interstitial cells is regulated by the stiffness of the extracellular matrix",2009,"Arteriosclerosis, thrombosis, and vascular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11991806584334001706",7,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:Tyk-4Ss8FVUC",29,6,936,942,290,29.00,73,4,10
267,"JH Chen, C Liu, L You, CA Simmons","Boning up on Wolff's Law: mechanical regulation of the cells that make and maintain bone",2010,"Journal of biomechanics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8872347878143040438",8,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:hqOjcs7Dif8C",43,1,108,118,267,29.67,67,4,9
252,"CA Simmons, GR Grant, E Manduchi, PF Davies","Spatial heterogeneity of endothelial phenotypes correlates with side-specific vulnerability to calcification in normal porcine aortic valves",2005,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4358928004693360773",9,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:2osOgNQ5qMEC",96,7,792,799,252,18.00,63,4,14
241,"B Bhana, RK Iyer, WLK Chen, R Zhao, KL Sider, M Likhitpanichkul, ...","Influence of substrate stiffness on the phenotype of heart cells",2010,"Biotechnology and bioengineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4045981873724068275",10,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N7UKQNAAAAAJ&pagesize=100&citation_for_view=N7UKQNAAAAAJ:0EnyYjriUFMC",105,6,1148,1160,241,26.78,34,7,9
