Cites,Authors,Year
456,BC Berk,2001
448,"GN Rao|MA Corson|BC Berk",1991
447,"MB Taubman|BC Berk|S Izumo|T Tsuda|RW Alexander|B Nadal-Ginard",1989
407,"J Haendeler|J Hoffmann|V Tischler|BC Berk|AM Zeiher|S Dimmeler",2002
380,"ZG Jin|MG Melaragno|DF Liao|C Yan|J Haendeler|YA Suh",2000
376,"BC Berk|MA Corson",1997
374,"B Gallis|GL Corthals|DR Goodlett|H Ueba|F Kim|SR Presnell|D Figeys",1999
372,"K Satoh|Y Kagaya|M Nakano|Y Ito|J Ohta|H Tada|A Karibe",2006
358,"ZG Jin|H Ueba|T Tanimoto|AO Lungu|MD Frame|BC Berk",2003
344,"H Tseng|TE Peterson|BC Berk",1995
337,"J Abe|BC Berk",1998
303,"J Abe|M Takahashi|M Ishida|JD Lee|BC Berk",1997
301,"DF Liao|ZG Jin|AS Baas|G Daum|SP Gygi|R Aebersold|BC Berk",2000
290,"K Satoh|P Nigro|T Matoba|MR O'dell|Z Cui|X Shi|A Mohan|C Yan",2009
284,"M Yoshizumi|J Abe|J Haendeler|Q Huang|BC Berk",2000
265,"E Takahashi|J Abe|B Gallis|R Aebersold|DJ Spring|EG Krebs|BC Berk",1999
264,"T Ishida|TE Peterson|NL Kovach|BC Berk",1996
263,"BC Berk|JUNI ABE|W Min|J Surapisitchat|C Yan",2001
258,"DF Liao|B Monia|N Dean|BC Berk",1997
256,"M Takahashi|BC Berk",1996
252,"J Surapisitchat|RJ Hoefen|X Pi|M Yoshizumi|C Yan|BC Berk",2001
251,"H Yamawaki|S Pan|RT Lee|BC Berk",2005
245,"H Yamawaki|J Haendeler|BC Berk",2003
243,"RJ Hoefen|BC Berk",2006
242,"T Watanabe|TA Barker|BC Berk",2005
241,"J Abe|BC Berk",1999
238,"K Chen|JA Vita|BC Berk|JF Keaney",2001
236,"MB Marrero|WG Paxton|JL Duff|BC Berk|KE Bernstein",1994
234,"JL Duff|BC Berk|MA Corson",1992
226,"BC Berk|G Vallega|AJ Muslin|HM Gordon|M Canessa|RW Alexander",1989
224,"BC Berk|MS Aronow|TA Brock|E Cragoe|MA Gimbrone|RW Alexander",1987
221,"BC Berk|TA Brock|RC Webb|MB Taubman|WJ Atkinson|MA Gimbrone",1985
216,"ZG Jin|AO Lungu|L Xie|M Wang|C Wong|BC Berk",2004
216,"JE Schneider|BC Berk|MB Gravanis|EC Santoian|GD Cipolla",1993
212,"C Yan|D Kim|T Aizawa|BC Berk",2003
211,"T Tanimoto|ZG Jin|BC Berk",2002
205,"M Takahashi|T Ishida|O Traub|MA Corson|BC Berk",1997
202,"D Kim|SD Rybalkin|X Pi|Y Wang|C Zhang|T Munzel|JA Beavo",2001
200,"RV Geiger|BC Berk|RW Alexander|RM Nerem",1992
196,"JL Duff|BP Monia|BC Berk",1995
192,"J Suzuki|ZG Jin|DF Meoli|T Matoba|BC Berk",2006
192,"MB Taubman|BJ Rollins|M Poon|J Marmur|RS Green|BC Berk",1992
191,"M Ishida|MB Marrero|B Schieffer|T Ishida|KE Bernstein|BC Berk",1995
190,"W Che|N Lerner-Marmarosh|Q Huang|M Osawa|S Ohta|M Yoshizumi",2002
189,"Y Saito|BC Berk",2001
189,"GL Nunes|K Robinson|A Kalynych|SB King III|DS Sgoutas|BC Berk",1997
188,"GL Nunes|DS Sgoutas|RA Redden|SR Sigman|MB Gravanis",1995
187,"C Yan|M Takahashi|M Okuda|JD Lee|BC Berk",1999
184,"H Yamawaki|S Lehoux|BC Berk",2003
183,"BC Berk|MA Corson|TE Peterson|H Tseng",1995
182,"Y Saito|J Haendeler|Y Hojo|K Yamamoto|BC Berk",2001
177,"VA Korshunov|BC Berk",2003
176,"TD Giles|BC Berk|HR Black|JN Cohn|JB Kostis|JL Izzo Jr|MA Weber",2005
175,"M Ishida|T Ishida|SM Thomas|BC Berk",1998
174,"M Mitsumata|RS Fishel|RM Nerem|RW Alexander|BC Berk",1993
173,"B Ding|J Abe|H Wei|Q Huang|RA Walsh|CA Molina|A Zhao",2005
173,"T Ishida|M Ishida|J Suero|M Takahashi|BC Berk",1999
172,"S Heeneman|J Haendeler|Y Saito|M Ishida|BC Berk",2000
171,"C Yan|H Luo|JD Lee|J Abe|BC Berk",2001
167,"P Nigro|J Abe|BC Berk",2011
167,"X Pi|C Yan|BC Berk",2004
166,"G Helmlinger|BC Berk|RM Nerem",1995
164,"KI Jeon|X Xu|T Aizawa|JH Lim|H Jono|DS Kwon|J Abe|BC Berk|JD Li",2010
164,"M Kusuhara|A Chait|A Cader|BC Berk",1997
163,"J Abe|M Okuda|Q Huang|M Yoshizumi|BC Berk",2000
162,"Y Takeishi|Q Huang|J Abe|M Glassman|W Che|JD Lee|H Kawakatsu",2001
161,"M Kusuhara|E Takahashi|TE Peterson|J Abe|M Ishida|J Han",1998
157,"A Rothman|TJ Kulik|MB Taubman|BC Berk|CW Smith|B Nadal-Ginard",1992
154,"P Nigro|K Satoh|MR O'dell|NN Soe|Z Cui|A Mohan|J Abe|JD Alexis",2011
152,"J Abe|CP Baines|BC Berk",2000
151,"MG Melaragno|DA Wuthrich|V Poppa|D Gill|V Lindner|BC Berk",1998
151,"BC Berk|TA Brock|MA Gimbrone|RW Alexander",1987
149,"TE Peterson|V Poppa|H Ueba|A Wu|C Yan|BC Berk",1999
149,"GN Rao|B Lassegue|KK Griendling|RW Alexander|BC Berk",1993
147,"VA Korshunov|SM Schwartz|BC Berk",2007
147,"T Ishida|M Takahashi|MA Corson|BC Berk",1997
146,"S Pan|BC Berk",2007
145,"JS Mondy|V Lindner|JK Miyashiro|BC Berk|RH Dean|RL Geary",1997
142,"G Yin|C Yan|BC Berk",2003
141,"RJ Hoefen|BC Berk",2002
140,"O Traub|BP Monia|NM Dean|BC Berk",1997
136,"K Satoh|P Nigro|BC Berk",2010
133,"BC Berk|JB Gordon|RW Alexander",1991
131,BC Berk,2008
130,"MG Melaragno|ME Cavet|C Yan|LK Tai|ZG Jin|J Haendeler|BC Berk",2004
129,"S Lehoux|J Abe|JA Florian|BC Berk",2001
128,BC Berk,1999
127,"T Tanimoto|AO Lungu|BC Berk",2004
127,"M Okuda|M Takahashi|J Suero|CE Murry|O Traub|H Kawakatsu",1999
126,"ON Spindel|C World|BC Berk",2012
126,"T Aizawa|H Wei|JM Miano|J Abe|BC Berk|C Yan",2003
125,"Y Liu|G Yin|J Surapisitchat|BC Berk|W Min",2001
123,"JL Duff|MB Marrero|WG Paxton|B Schieffer|KE Bernstein|BC Berk",1995
121,"B Ding|J Abe|H Wei|H Xu|W Che|T Aizawa|W Liu|CA Molina",2005
119,"M Akaike|W Che|NL Marmarosh|S Ohta|M Osawa|B Ding|BC Berk",2004
117,"K Satoh|H Shimokawa|BC Berk",2010
112,"DJ Nagel|T Aizawa|KI Jeon|W Liu|A Mohan|H Wei|JM Miano|VA Florio",2006
110,"VA Korshunov|AM Mohan|MA Georger|BC Berk",2006
107,"VA Korshunov|BC Berk",2004
107,"G Yin|J Haendeler|C Yan|BC Berk",2004
106,"J Haendeler|G Yin|Y Hojo|Y Saito|M Melaragno|C Yan|VK Sharma",2003
104,"U Schmitz|T Ishida|M Ishida|J Surapisitchat|MI Hasham|S Pelech",1998
104,"KE Bernstein|BC Berk",1993
104,"BC Berk|MB Taubman|EJ Cragoe|JW Fenton|KK Griendling",1990
103,"M Yoshizumi|J Abe|K Tsuchiya|BC Berk|T Tamaki",2003
102,BC Berk,1999
101,"WL Shen|PJ Gao|ZQ Che|KD Ji|M Yin|C Yan|BC Berk|DL Zhu",2006
101,"Y Takeishi|Q Huang|J Abe|W Che|JD Lee|H Kawakatsu|BD Hoit",2002
100,"JK Miyashiro|V Poppa|BC Berk",1997
98,"ZG Jin|C Wong|J Wu|BC Berk",2005
97,"K Natarajan|BC Berk",2006
96,"Y Takeishi|J Abe|JD Lee|H Kawakatsu|RA Walsh|BC Berk",1999
96,"G Helmlinger|BC Berk|RM Nerem",1996
96,"RS Fishel|S Eisenberg|SY Shai|RA Redden|KE Bernstein|BC Berk",1995
93,"H Yamawaki|BC Berk",2005
93,"A Konishi|T Aizawa|A Mohan|VA Korshunov|BC Berk",2004
91,"S Xie|YF Lee|E Kim|LM Chen|J Ni|LY Fang|S Liu|SJ Lin|J Abe|B Berk",2009
91,"JL Duff|MB Marrero|WG Paxton|CH Charles|LF Lau|KE Bernstein",1993
90,"AO Lungu|ZG Jin|H Yamawaki|T Tanimoto|C Wong|BC Berk",2004
88,"JM Miano|BC Berk",2000
88,"BC Berk|MB Taubman|KK Griendling|EJ Cragoe|JW Fenton|TA Brock",1991
86,"RS Fishel|V Thourani|SJ Eisenberg|SY Shai|MA Corson|EG Nabel",1995
85,"N Maekawa|J Abe|T Shishido|S Itoh|B Ding|VK Sharma|SS Sheu",2006
85,"E Takahashi|BC Berk",1998
85,"WG Paxton|MB Marrero|JD Klein|P Delafontaine|BC Berk|KE Bernstein",1994
85,"BC Berk|RW Alexander",1989
83,"DF Liao|JL Duff|G Daum|SL Pelech|BC Berk",1996
82,"TF Wiesner|BC Berk|RM Nerem",1997
80,"M Menshikov|O Plekhanova|H Cai|K Chalupsky|Y Parfyonova",2006
80,"GP van Nieuw Amerongen|K Natarajan|G Yin|RJ Hoefen|M Osawa",2004
79,"MG Melaragno|YWC Fridell|BC Berk",1999
79,"PA Lucchesi|JM Bell|LS Willis|KL Byron|MA Corson|BC Berk",1996
77,"MP Massett|BC Berk",2005
76,"Y Saito|BC Berk",2002
76,"E Takahashi|J Abe|BC Berk",1997
75,"MT Mathews|BC Berk",2008
75,"LK Tai|M Okuda|J Abe|C Yan|BC Berk",2002
74,"Y Hojo|Y Saito|T Tanimoto|RJ Hoefen|CP Baines|K Yamamoto",2002
73,"G Yin|Q Zheng|C Yan|BC Berk",2005
72,"KK Griendling|T Tsuda|BC Berk|RW Alexander",1989
70,"O Traub|T Ishida|M Ishida|JC Tupper|BC Berk",1999
70,"SY Shai|RS Fishel|BM Martin|BC Berk|KE Bernstein",1992
69,"BC Berk|GN Rao",1993
68,"KS Heo|H Lee|P Nigro|T Thomas|NT Le|E Chang|C McClain",2011
68,"A Konishi|BC Berk",2003
67,BC Berk,2003
67,"U Schmitz|BC Berk",1997
67,"EG Nabel|BC Berk|TA Brock|TW Smith",1988
66,"BC Berk|W Min|C Yan|J Surapisitchat|Y Liu|R Hoefen",2002
66,"GN Rao|C Sardet|J Pouysségur|BC Berk",1990
64,"V Poppa|JK Miyashiro|MA Corson|BC Berk",1998
64,"KK Griendling|BC Berk|P Ganz|MA Gimbrone Jr|RW Alexander",1987
63,"H Ou|J Haendeler|MR Aebly|LA Kelly|BC Cholewa|G Koike",2000
63,"GA Vallega|ML Canessa|BC Berk|TA Brock|RW Alexander",1988
62,"J Haendeler|BC Berk",2000
60,"G Garin|J Abe|A Mohan|W Lu|C Yan|AC Newby|A Rhaman|BC Berk",2007
60,"X Pi|G Garin|L Xie|Q Zheng|H Wei|J Abe|C Yan|BC Berk",2005
60,"JM Wang|RM Wolf|JW Caldwell|PA Kollman|DA Case",2005
59,"K Satoh|P Nigro|A Zeidan|NN Soe|F Jaffré|M Oikawa|MR O'Dell|Z Cui",2011
59,"BC Berk|E Elder|M Mitsuka",1990
58,"Y Ogata|M Takahashi|S Ueno|K Takeuchi|T Okada|H Mano",2003
58,"Y Takeishi|Q Huang|T Wang|M Glassman|M Yoshizumi|CP Baines",2001
58,"TF Wiesner|BC Berk|RM Nerem",1996
58,"GN Rao|C Sardet|J Pouysségur|BC Berk",1992
57,"XQ Wang|P Nigro|C World|K Fujiwara|C Yan|BC Berk",2012
57,"CA Reinhart‐King|K Fujiwara|BC Berk",2008
57,"H Yamawaki|BC Berk",2006
55,"M Simons|K Alitalo|BH Annex|HG Augustin|C Beam|BC Berk|T Byzova",2015
55,"P Nigro|J Abe|CH Woo|K Satoh|C McClain|MR O'Dell|H Lee|JH Lim",2010
55,"VA Korshunov|TA Nikonenko|VA Tkachuk|A Brooks|BC Berk",2006
54,"T Watanabe|J Suzuki|H Yamawaki|VK Sharma|SS Sheu|BC Berk",2005
54,"KK Griendling|T Tsuda|BC Berk|RW Alexander",1989
53,"M Mitsuka|M Nagae|BC Berk",1993
52,"ME Cavet|S Lehoux|BC Berk",2003
52,"VN Phan|M Kusuhara|PA Lucchesi|BC Berk",1997
52,"MB Marrero|B Schieffer|WG Paxton|JL Duff|BC Berk|KE Bernstein",1995
51,"VA Korshunov|BC Berk",2008
51,"D Kim|T Aizawa|H Wei|X Pi|SD Rybalkin|BC Berk|C Yan",2005
49,"J Wang|Y Taba|J Pang|G Yin|C Yan|BC Berk",2009
48,"J Abe|BC Berk",2014
48,"L Li|RJ Tatake|K Natarajan|Y Taba|G Garin|C Tai|E Leung",2008
48,BC Berk,2007
48,"G Garin|BC Berk",2006
47,"J Ibrahim|BC Berk|AD Hughes",2006
46,"J Ibrahim|JK Miyashiro|BC Berk",2003
44,JE Feagin,1990
43,"J Pang|R Hoefen|GS Pryhuber|J Wang|G Yin|RJ White|X Xu",2009
43,"JD Alexis|N Wang|W Che|N Lerner-Marmarosh|A Sahni|VA Korshunov",2009
43,"ME Cavet|EM Smolock|OH Ozturk|C World|J Pang|A Konishi|BC Berk",2008
43,"PA Lucchesi|N DeRoux|BC Berk",1994
42,"C World|ON Spindel|BC Berk",2011
42,"P Menon|R Deane|A Sagare|SM Lane|TJ Zarcone|MR O'Dell|C Yan",2010
42,"VA Korshunov|M Daul|MP Massett|BC Berk",2007
42,"J Wang|S Pan|BC Berk",2007
42,"CR Narins|DA Lin|PB Burton|ZG Jin|BC Berk",2004
42,"M Osawa|S Itoh|S Ohta|Q Huang|BC Berk|NL Marmarosh|W Che",2004
42,"BC Berk|G Vallega|KK Griendling|JB Gordon|EJ Cragoe Jr|M Canessa",1988
41,"L Tai|Q Zheng|S Pan|ZG Jin|BC Berk",2005
41,"J Haendeler|M Ishida|L Hunyady|BC Berk",2000
39,"TA Barker|MP Massett|VA Korshunov|AM Mohan|AJ Kennedy|BC Berk",2006
38,"J Pang|C Yan|K Natarajan|ME Cavet|MP Massett|G Yin|BC Berk",2008
38,"KK Griendling|BC Berk|RW Alexander",1988
38,"JB Gordon|BC Berk|MA Bettmann|AP Selwyn|H Rennke|RW Alexander",1987
37,"S Pan|CJ World|CJ Kovacs|BC Berk",2009
37,"Q Zheng|G Yin|C Yan|M Cavet|BC Berk",2004
37,"PA Lucchesi|BC Berk",1995
36,"NN Soe|M Sowden|P Baskaran|Y Kim|P Nigro|EM Smolock|BC Berk",2013
36,"U Schmitz|M Ishida|BC Berk",1997
35,"BC Berk|J Haendeler|J Sottile",2000
34,"N Lerner-Marmarosh|M Yoshizumi|W Che|J Surapisitchat|H Kawakatsu",2003
33,"P Menon|G Yin|EM Smolock|MJ Zuscik|C Yan|BC Berk",2010
33,"S Itoh|B Ding|T Shishido|N Lerner-Marmarosh|N Wang|N Maekawa",2006
33,"Y Saito|Y Hojo|T Tanimoto|J Abe|BC Berk",2002
33,"NR Danthuluri|BC Berk|TA Brock|EJ Cragoe Jr|RC Deth",1987
32,"EM Smolock|VA Korshunov|G Glazko|X Qiu|J Gerloff|BC Berk",2012
32,"Y Parfyonova|O Plekhanova|M Solomatina|V Naumov|A Bobik|B Berk",2004
32,"MA Corson|RW Alexander|BC Berk",1992
31,"M Menshikov|N Torosyan|E Elizarova|K Plakida|A Vorotnikov",2006
30,"BC Berk|M Canessa|G Vallega|RW Alexander",1988
29,"LM Krug|BC Berk",1992
29,"KK Griendling|BC Berk|L Socorro|T Tsuda|P Delafontaine",1988
28,"GN Rao|N De Roux|C Sardet|J Pouysségur|BC Berk",1991
27,"M Mitsuka|BC Berk",1991
26,"NN Soe|M Sowden|P Baskaran|EM Smolock|Y Kim|P Nigro|BC Berk",2013
26,"SY Park|X Shi|J Pang|C Yan|BC Berk",2013
25,"ME Cavet|J Pang|G Yin|BC Berk",2008
25,"MD Frame|RJ Fox|D Kim|A Mohan|BC Berk|C Yan",2002
24,"VA Korshunov|MA Solomatina|OS Plekhanova|YV Parfyonova",2004
24,"W Che|J Abe|M Yoshizumi|Q Huang|M Glassman|S Ohta",2001
23,"ON Spindel|RM Burke|C Yan|BC Berk",2014
23,"ON Spindel|C Yan|BC Berk",2012
23,"H Tseng|BC Berk",1992
22,"GY Kim|P Nigro|K Fujiwara|J Abe|BC Berk",2012
22,"G Garin|BC Berk",2006
21,"S Majumder|MP Sowden|SA Gerber|T Thomas|CK Christie|A Mohan",2014
21,"J Ibrahim|BC Berk",2009
21,"JM Miano|BC Berk",1999
21,"GL Nunes|DS Sgoutas|SR Sigman|B Britt|MB Gravanis|SB King",1993
21,"GN Rao|C Sardet|J Pouyssegur|BC Berk",1993
20,"C Xue|M Sowden|BC Berk",2017
20,"K Satoh|BC Berk|H Shimokawa",2011
20,"Q Huang|N Lerner-Marmarosh|W Che|S Ohta|M Osawa|M Yoshizumi",2002
20,"MW Liu|BC Berk",1991
19,"C Chen|VA Korshunov|MP Massett|C Yan|BC Berk",2007
19,"K Natarajan|G Yin|BC Berk",2004
18,"M Simons|K Alitalo|BH Annex|HG Augustin|C Beam|BC Berk|T Byzova",2015
18,"G Yin|TJ Sheu|P Menon|J Pang|HC Ho|S Shi|C Xie|E Smolock|C Yan",2014
18,"J Wang|G Yin|P Menon|J Pang|EM Smolock|C Yan|BC Berk",2010
18,"O Plekhanova|BC Berk|P Bashtrykov|AI Brooks|V Tkachuk",2009
18,"MA Corson|BC Berk|JP Navas|DG Harrison",1993
17,"N Zhang|W Cai|G Yin|DJ Nagel|BC Berk",2010
17,"X Pi|C Yan|D Kim|J Chen|BC Berk",2002
16,BC Berk,1998
16,"JL Duff|BC Berk",1995
15,"L Wang|NN Soe|M Sowden|Y Xu|K Modjeski|P Baskaran|Y Kim",2014
15,"S Heeneman|J Haendeler|Y Saito|M Ishida|BC Berk",2000
14,"TJ Sheu|W Zhou|J Fan|H Zhou|MJ Zuscik|C Xie|G Yin|BC Berk",2014
14,"J Pang|X Xu|X Wang|S Majumder|J Wang|VA Korshunov|BC Berk",2013
14,"ME Cavet|EM Smolock|P Menon|A Konishi|VA Korshunov|BC Berk",2010
14,"G Garin|M Mathews|BC Berk",2005
14,"ZG Jin|H Ueba|T Tanimoto|AO Lungu|MD Frame|BC Berk",2003
14,"J Abe|BC Berk",2002
14,"JM Miano|BC Berk",2001
13,"KS Heo|BC Berk|J Abe",2016
13,"J Pang|X Xu|MR Getman|X Shi|SL Belmonte|H Michaloski|A Mohan",2011
13,"K Satoh|BC Berk",2007
13,"ZG Jin|BC Berk",2004
12,"MP Massett|R Fan|BC Berk",2009
12,"VA Korshunov|BC Berk",2009
12,"BC Berk|PM Hinkle",1980
11,"GL Perrucci|S Straino|M Corlianò|A Scopece|M Napolitano|BC Berk",2016
11,"MB Taubman|BC Berk|S Izumo|RR Alexander|B Nadal-Ginard",1987
10,"BC Berk|VA Korshunov",2006
10,"ZG Jin|C Wong|J Wu|BC Berk",2005
10,BC Berk,1991
9,"J Abe|BC Berk",2013
9,"ON Spindel|BC Berk",2012
9,"MA Corson|BC Berk",1993
8,"OS Plekhanova|MY Men’shikov|PP Bashtrykov|BS Berk|VA Tkachuk",2006
8,"JM Miano|BC Berk",2006
8,"G Velarde|BC Berk",2005
8,"T Tanimoto|ZG Jin|BC Berk",2002
8,"BC Berk|MA Corson",1992
7,"RM Burke|BC Berk",2015
7,"ZG Jin|BC Berk",2004
7,"JUNI ABE|W Che|M Yoshizumi|Q Huang|M Glassman|S Ohta|Y Wu",2001
7,"JA Suero|BC Berk",1996
7,"J Abe|M Kusuhara|RJ Ulevitch|JD Lee|BC Berk",1996
6,"EM Smolock|DE Machleder|VA Korshunov|BC Berk",2013
6,"X Shi|C Yan|SM Nadtochiy|JI Abe|PS Brookes|BC Berk",2011
6,"H Tseng|BC Berk",1993
6,"AJ Muslin|BC Berk|RW Alexander",1987
5,"S Majumder|GF Zhu|X Xu|S Senchanthisai|D Jiang|H Liu|C Xue",2016
5,"VA Korshunov|MP Massett|RM Carey|BC Berk",2004
5,BC Berk,2000
5,"DF Liao|AS Baas|G Daum|BC Berk",1997
5,"BC Berk|HM Gordon|V Vekhstein|MB Taubman|RW Alexander",1988
5,"P Ganz|BC Berk|JA Leopold|MA Gimbrone|KK Griendling",1986
4,"J Abe|BC Berk",2013
4,"NN Soe|BC Berk",2011
4,"BC Blaxall|JM Miano|BC Berk",2005
4,T Watanabe,2005
4,ME Mendelsohn,2005
4,"JM Delehanty|FS Ling|BC Berk",1999
4,"H Ueba|V Poppa|J Suero|M Okuda|BC Berk",1998
4,"JI Abe|BC Berk",1998
4,"L Duan-Fang|JL Duff|G Daum|SL Pelech|BC Berk",1996
4,"JE Schneider|BC Berk|EC Santoian|MB Gravanis|GD Cipolla",1992
4,"G Vallega|M Canessa|BC Berk|TA Brock|MA Gimbrone|RW Alexander",1986
3,"J Abe|BC Berk",2013
3,"K Satoh|Y Fukumoto|K Sugimura|S Tatebe|Y Miura|S Miyamichi",2010
3,"K Satoh|MR O’Dell|D Liao|Z Cui|P Nigro|A Mohan|J Alexis|B Goldman",2008
3,"OS Plekhanova|MA Solomatina|MI Men'shikov|PP Bashtrykov",2006
3,"T Watanabe|BC Berk",2004
3,"XC Pi|C Yan|QL Zheng|LK Tai|BC Berk",2003
3,"ZG Jin|BC Berk",2001
3,"M Takahashi|T Ishida|BC Berk",1997
3,"O Traub|BC Berk",1997
3,"M Ishida|BC Berk",1997
3,"T Ishida|TE Peterson|NL Kovach|BC Berk",1995
3,"GL Nunes|SR Sigman|KA Robinson|GD Cipolla|MB Gravanis|BC Berk",1993
3,BC Berk,1989
3,"BC Berk|PM Hinkle",1981
2,"Y Li|M Ren|X Wang|X Cui|H Zhao|C Zhao|J Zhou|Y Guo|Y Hu|C Yan",2017
2,"X Shi|MM O’Neill|S MacDonnell|PS Brookes|C Yan|BC Berk",2016
2,BC Berk,2015
2,"EM Smolock|RM Burke|C Wang|T Thomas|SN Batchu|X Qiu|M Zettel",2014
2,"B Berk|J Abe",2008
2,BC Berk,2006
2,"H Yamawaki|S Lehoux|BC Berk",2002
2,"RJ Hoefen|BC Berk",2000
2,"J Haendeler|Y Hojo|R Aebersold|C Yan|BC Berk",2000
2,B Berk,2000
2,"J Abe|BC Berk",2000
2,"SF Vatner|BC Berk|TH Hintze|LA Leinwand|P Libby|E Marbán",1999
2,"AY Wu|C Yan|BC Berk",1998
2,SJ Eisenberg,1994
2,"GL Nunes|RA Redden|DS Sgoutas|BC Berk",1993
2,"RS Fishel|RA Redden|KE Bernstein|BC Berk",1992
2,"R Fishel|S Shai|K Norc|K Bernstein|B Berk",1991
2,"R Geiger|B Berk|R Alexander|R Nerem",1991
2,"GN Rao|N DeRoux|C Sardet|J Pouyssegur|B Berk",1991
2,"GN Rao|BC Berk",1990
2,"KK Griendling|BC Berk|MA GIMBRONE|RW Alexander",1987
1,"C Xue|MP Sowden|BC Berk",2018
1,"C Yan|JD Li|B Berk|X Xu",2016
1,"CRE Craig Beam|BC Berk|T Byzova|P Carmeliet|W Chilian|JP Cooke",2015
1,"SY Park|C Yan|B Berk",2012
1,"E Smolock|BC Berk",2012
1,"J Wang|G Yin|P Menon|J Pang|EM Smolock|C Yan|BC Berk",2010
1,BC Berk,2010
1,"P Nigro|K Satoh|MR O’Dell|NN Soe|Z Cui|A Mohan|J Abe|J Alexis",2009
1,"JD Alexis|N Wang|W Che|N Lerner-Marmarosh|A Sahni|VA Korshunov",2009
1,"T Matoba|BC Berk",2006
1,B Berk,2006
1,"V Korshunov|A Mohan|B Berk",2005
1,"N Maekawa|J Abe|B Ding|BC Berk",2004
1,"X Pi|C Yan|BC Berk",2004
1,"QL Zheng|GY Yin|M Cavet|C Yan|XC Pi|LK Tai|BC Berk",2003
1,"M Yoshizumi|J Abe|K Tsuchiya|BC Berk|T Tamaki",2003
1,"T Aizawa|H Wei|J Miano|J Abe|B Berk|C Yan",2003
1,"D Kim|XC Pi|T Aizawa|BC Berk|C Yan",2001
1,"Y Hojo|Y Saito|RJ Hoefen|J Haendeler|CC Baines|K Yamamoto",2001
1,"JUNI ABE|C YAN|J SURAPISITCHAT|BC BERK",2001
1,"ZG Jin|MG Melaragno|DF Liao|C Yan|J Haendeler|YA Suh",2000
1,BC Berk,2000
1,"Y Takeishi|J Abe|JD Lee|ARA Walsh|BC Berk",1999
1,"Y Takeishi|J Abe|JD Lee|RA Walsh|BC Berk",1999
1,"S Lehoux|J Abe|BC Berk",1999
1,"MA Corson|BC Berk",1997
1,BC Berk,1997
1,"AS Baas|BC Berk",1996
1,"M Kusuhara|JH HAN|R Ulevitch|BC Berk",1995
1,"JL Duff|BC Berk",1995
1,"AS Baas|BC Berk",1995
1,"RM Nerem|M Mitsumata|T Ziegler|BC Berk|RW Alexander",1993
1,"MA Corson|RW Alexander|BC Berk",1990
1,"LM Krug|BC Berk",1990
1,"BC Berk|G Vallega|AJ Muslin|HM Gordon|M Canessa|RW Alexander",1989
1,"BC Berk|RA Hyman|G VALLEGA|RM Medford",1988
1,"P Ganz|BC Berk|JA Leopold|MA Gimbrone|PF Davies|KK Griendling",1987
1,"BC Berk|GA Vallega|JB Gordon|ML Canessa|RW Alexander",1987
1,"NR Danthuluri|RC Deth|TA Brock|BC Berk",1987
1,"BC Berk|MS Aronow|TA Brock|MA Gimbrone|RW Alexander",1986
2147,"Y Gong|RB Slee|N Fukai|G Rawadi|S Roman-Roman|AM Reginato",2001
756,"M Vikkula|LM Boon|KLC Iii|JT Calvert|AJ Diamonti|B Goumnerov",1996
623,"E Vanneste|T Voet|C Le Caignec|M Ampe|P Konings|C Melotte",2009
507,"I Eerola|LM Boon|JB Mulliken|PE Burrows|A Dompmartin|S Watanabe",2003
428,"B Lorenz-Depiereux|M Bastepe|A Benet-Pagès|M Amyere",2006
426,"M Wassef|F Blei|D Adams|A Alomari|E Baselga|A Berenstein",2015
407,"A Irrthum|MJ Karkkainen|K Devriendt|K Alitalo|M Vikkula",2000
382,"A Irrthum|K Devriendt|D Chitayat|G Matthijs|C Glade|PM Steijlen",2003
366,"M Vikkula|ECM Madman|VCH Lui|NI Zhidkova|GE Tiller|MB Goldring",1995
325,"M Jinnin|D Medici|L Park|N Limaye|Y Liu|E Boscolo|J Bischoff",2008
311,"TC Pansuriya|R Van Eijk|P d'Adamo|MAJH Van Ruler|ML Kuijjer",2011
277,"Y Gong|M Vikkula|L Boon|J Liu|P Beighton|R Ramesar|L Peltonen",1996
273,"N Revencu|LM Boon|JB Mulliken|O Enjolras|MR Cordisco|PE Burrows",2008
256,"LM Boon|JB Mulliken|O Enjolras|M Vikkula",2004
245,"N Limaye|V Wouters|M Uebelhoer|M Tuominen|R Wirkkala|JB Mulliken",2009
236,"P Brouillard|LM Boon|JB Mulliken|O Enjolras|M Ghassibé|ML Warman",2002
219,"LM Boon|JB Mulliken|M Vikkula",2005
215,"S Annunen|J Körkkö|M Czarny|ML Warman|HG Brunner|H Kääriäinen",1999
206,"P Brouillard|M Vikkula",2007
204,"LM Boon|JB Mulliken|M Vikkula|H Watkins|J Seidman|BR Olsen",1994
195,"A Dompmartin|M Vikkula|LM Boon",2010
190,"A Dompmartin|A Acher|P Thibon|S Tourbach|C Hermans|V Deneys",2008
177,"M Vikkula|LM Boon|JB Mulliken",2001
177,"A Palotie|J Ott|K Elima|K Cheah|P Väisänen|L Ryhänen|M Vikkula",1989
174,"H Jüppner|E Schipani|M Bastepe|DEC Cole|ML Lawson|M Mannstadt",1998
171,"CJ Gallione|KA Pasyk|LM Boon|F Lennon|DW Johnson|EA Helmbold",1995
164,"L Yao|F Schiavi|A Cascon|Y Qin|L Inglada-Pérez|EE King|RA Toledo",2010
