Source,Publisher,Year
Brain,academic.oup.com,2004
Journal of Physiology Gastrointestinal and Liver,physiology.org,1994
Blood,Am Soc Hematology,2013
Blood,Am Soc Hematology,2011
Journal of innate immunity,karger.com,2013
The Journal of,Am Assoc Immnol,2006
The Journal of,Am Assoc Immnol,2000
American Journal of,physiology.org,1999
Journal of critical care,Elsevier,2013
The Journal of,Am Assoc Immnol,1995
American Journal of Physiology,physiology.org,1998
Circulation Research,Am Heart Assoc,1995
Journal of leukocyte,Wiley Online Library,1999
The Journal of,Am Assoc Immnol,2011
Nature medicine,nature.com,2009
Microcirculation,Wiley Online Library,1998
Journal of Physiology Gastrointestinal and Liver,physiology.org,1996
,Wiley Online Library,2015
American Journal of Physiology,physiology.org,1996
Circulation research,Am Heart Assoc,1996
PloS one,journals.plos.org,2009
Blood,Am Soc Hematology,1998
Annals of,ncbi.nlm.nih.gov,2015
Gastroenterology,Elsevier,1992
American Journal of,physiology.org,1999
Toxicologic pathology,journals.sagepub.com,2012
Gastroenterology,Elsevier,2016
American Journal of Physiology Heart and Circulatory,physiology.org,1993
Journal of,liebertpub.com,2013
Cell reports,Elsevier,2016
Journal of Experimental,jem.rupress.org,2017
Mediators of inflammation,hindawi.com,1995
The Journal of Immunology,Am Assoc Immnol,2002
The Journal of Immunology,Am Assoc Immnol,1999
Circulation research,Am Heart Assoc,1997
American Journal of,physiology.org,2000
Platelets,Taylor & Francis,2015
Gastroenterology,Elsevier,2010
,science.sciencemag.org,2017
Cell,Elsevier,2016
The Journal of,Am Assoc Immnol,2008
American Journal of Physiology,physiology.org,2003
The Journal of,Am Assoc Immnol,2009
Cellular microbiology,Wiley Online Library,2016
The Journal of,Am Assoc Immnol,2004
British journal of,Wiley Online Library,2001
American Journal of,physiology.org,1999
Frontiers in immunology,frontiersin.org,2015
European journal of,Wiley Online Library,2012
The Journal of,Am Assoc Immnol,1997
American Journal of,physiology.org,1996
American Journal of,physiology.org,2002
Annals of the New York,Wiley Online Library,1992
American Journal of Physiology,physiology.org,1998
Canadian journal of physiology and,NRC Research Press,2003
Proceedings of the,National Acad Sciences,2011
,Wiley Online Library,1999
American Journal of Physiology Heart and,physiology.org,1996
Immunity,Elsevier,2017
The Journal of,Am Soc Clin Investig,2017
European journal of,Wiley Online Library,2008
Neurocritical care,Springer,2015
American Journal of,physiology.org,1995
PLoS pathogens,journals.plos.org,2014
Proceedings of the,National Acad Sciences,2014
American Journal of,physiology.org,2000
American journal of,atsjournals.org,2008
Science,ncbi.nlm.nih.gov,2017
Inflammation,Springer,1993
The Tumor Microenvironment,Springer,2016
Cell host,Elsevier,2016
Frontiers in,frontiersin.org,2017
Microcirculation,Wiley Online Library,2003
Nature medicine,nature.com,2014
European journal of,Wiley Online Library,2000
The Journal of,Am Assoc Immnol,2008
The Journal of cell,jcb.rupress.org,2001
American Journal of Physiology,physiology.org,1997
The Journal of,Am Assoc Immnol,1999
Microcirculation,Taylor & Francis,2005
Hepatology,Wiley Online Library,2006
Immunology and cell biology,Wiley Online Library,2013
American Journal of Physiology Heart and,physiology.org,2006
Cell Migration in Inflammation and Immunity,Springer,2004
Blood,Am Soc Hematology,2004
Journal of,jem.rupress.org,2017
Liver,Wiley Online Library,2017
Biological oxidants generation and injurious,Elsevier,1992
British journal of,Wiley Online Library,2001
,Springer Verlag,1995
American Journal of,physiology.org,2004
Proceedings of the,National Acad Sciences,2018
Arteriosclerosis thrombosis and,Am Heart Assoc,2017
The American journal of,Elsevier,2005
American Journal of,physiology.org,1998
Journal of Cerebral,journals.sagepub.com,2015
,Am Heart Assoc,2004
Journal of leukocyte biology,Wiley Online Library,2018
,gastrojournal.org,2015
Nature,ncbi.nlm.nih.gov,2012
Frontiers in,frontiersin.org,2017
World Journal of,wjes.biomedcentral.com,2018
Cell and tissue research,Springer,2018
Innate immunity,journals.sagepub.com,2018
Critical Care,ccforum.biomedcentral.com,2011
Journal of proteome,ACS Publications,2012
Frontiers in immunology,frontiersin.org,2015
Annual review of immunology,annualreviews.org,2018
American Journal of Physiology,physiology.org,2003
Immunology letters,Elsevier,2013
PloS one,journals.plos.org,2014
Methods,Elsevier,2017
Cell reports,Elsevier,2018
European Journal of Trauma and Emergency,Springer,2018
PloS one,journals.plos.org,2015
American Journal of,physiology.org,1996
Nature Reviews Gastroenterology Hepatology,nature.com,2018
JCI insight,ncbi.nlm.nih.gov,2018
,Wiley Online Library,2000
Oncoimmunology,Taylor & Francis,2014
Nature,nature.com,2018
World Journal of,wjes.biomedcentral.com,2018
American Journal of Physiology,physiology.org,2013
Cell host,Elsevier,2018
Seminars in immunology,ncbi.nlm.nih.gov,2016
Nature Reviews Gastroenterology Hepatology,nature.com,2016
Nature,nature.com,2018
Cellular,Wiley Online Library,2018
Cell reports,Elsevier,2017
Inflammatory Diseases of Blood Vessels,books.google.com,2012
Nature medicine,nature.com,2019
The Journal of,Am Soc Clin Investig,2018
Science translational,stm.sciencemag.org,2014
,fasebj.org,2007
Scientific reports,nature.com,2017
Adhesion Molecules in Allergic Disease,books.google.com,1997
Blood,Am Soc Hematology,2006
Sepsis,Springer,1998
Journal of leukocyte,Wiley Online Library,2019
Physiological reviews,physiology.org,2019
Nitric Oxide and Inflammation,Springer,2001
Journal of translational,Springer,2014
,,
,,
,,
Free Radical Biology and Medicine,Pergamon,1993
J Immunol,academia.edu,2004
Blood,Am Soc Hematology,2003
Immunological reviews,Wiley Online Library,2019
J,researchgate.net,2008
,,
,pdfs.semanticscholar.org,2006
,,
Immunology,ncbi.nlm.nih.gov,2014
The Journal of clinical investigation,Am Soc Clin Investig,2019
American,American Physiological Society,2013
B25 MONITORING,atsjournals.org,2011
Free Radical Biology and Medicine,Pergamon,1993
European journal of immunology,Wiley Online Library,2019
Free Radical Biology and Medicine,Pergamon,1993
Alberta Innovates Health,138.197.167.67,
Keio journal of medicine,ci.nii.ac.jp,2003
,fasebj.org,2008
,fasebj.org,2008
World journal of,helda.helsinki.fi,2018
Neuro Immuno Physiology of the,New York Academy of Sciences,1992
Neuro immuno physiology of the,New York Academy of Sciences,1992
researchgate net,,
of the Tokyo International Symposium on,Elsevier Science & Technology,1994
Current Biology,core.ac.uk,2014
Blood,Am Soc Hematology,2019
US Patent App 14 361 030,Google Patents,2014
The Journal of,Am Assoc Immnol,2018
researchgate net,,
Organ Microcirculation,Springer,2005
J,researchgate.net,2004
,core.ac.uk,2000
US Patent,Google Patents,2016
ACS infectious diseases,ACS Publications,2018
Gastroenterology,Elsevier,2019
Blood,Am Soc Hematology,2019
Developmental Cell,Elsevier,2019
Cell Host Microbe,Elsevier,2019
Molecular Basis for Microcirculatory Disorders,Springer,2003
,Americain Society of Hematology,2006
dynamics an official,Wiley Online Library,2008
Genes,genesdev.cshlp.org,2016
Genes,genesdev.cshlp.org,2010
Lymphangiogenesis,Springer,2018
BioRxiv,biorxiv.org,2019
Developmental,Elsevier,2016
Genome biology,genomebiology.biomedcentral.com,2010
Biological Control,Elsevier,2010
Cell reports,Elsevier,2017
Disease models,dmm.biologists.org,2017
Development,dev.biologists.org,2016
Cell reports,Elsevier,2018
Developmental cell,Elsevier,2008
Seminars in Thrombosis and Hemostasis,,2016
Тромбоз гемостаз и реология 67 S3,,2016
Microbiology,,2014
Microbiology,,2016
Вопросы гематологии онкологии и иммунопатологии в педиатрии,,2016
ACS applied materials interfaces,,2018
Biology Bulletin,,2013
Thrombosis research,,2018
PloS one,,2018
American Journal of Perinatology 33 S 01 A,,2016
Микробиология,,2016
Известия Российской академии наук Серия биологическая,,2013
Pediatric research,,2018
Российский журнал детской гематологии и онкологии РЖДГиО,,2018
Тромбоз гемостаз и реология научно практический журнал ISSN 2078,,2017
Res Pract Thromb Haemost 1 Suppl 1,,2017
Res Pract Thromb Haemost 1 Suppl 1,,2017
Res Pract Thromb Haemost 1 Suppl 1 1 1451 1 Suppl 1,,2017
Journal of Thrombosis and Haemostasis,,2016
10th Siop Asia 2016 Congress Abstract Book,,2016
Тромбоз гемостаз и реология 67 S3,,2016
Тромбоз гемостаз и реология 67 S3,,2016
V СЪЕЗД БИОФИЗИКОВ РОССИИ Материалы докладов,,2015
Nature medicine,,2004
Cell,,2011
Proceedings of the National Academy of Sciences,,2002
American Journal of Physiology Lung Cellular and Molecular Physiology 285,,2003
The Journal of clinical investigation,,2006
Biochimica et Biophysica Acta BBA Molecular Cell Research,,2005
The Journal of clinical investigation,,2008
Molecular biology of the cell,,1997
Proceedings of the National Academy of Sciences,,1999
The American journal of pathology,,2004
Microscopy research and technique,,2002
Proceedings of the National Academy of Sciences,,2005
Journal of Cell Science,,2004
Journal of Biological Chemistry,,2007
Molecular biology of the cell,,2003
Cancer research,,2008
Blood,,2012
The Journal of cell biology,,1999
Journal of cellular and molecular medicine,,2007
Journal of molecular biology,,2005
Molecular biology of the cell,,2004
Developmental cell,,2012
The American journal of pathology,,2007
Seminars in thrombosis and hemostasis,,2010
Journal of the American Society of Nephrology,,2008
BMC cancer,,2013
Biomaterials,,2012
Genomics,,2001
American Journal of Physiology Heart and Circulatory Physiology 286,,2004
Drug metabolism and disposition,,2003
Nature communications,,2016
The FASEB Journal,,2011
J Cell Biol,,2018
American Journal of Physiology Lung Cellular and Molecular Physiology 290,,2006
Cancer immunology immunotherapy,,2012
PloS one,,2012
Molecular Imaging and Biology,,2014
Journal of the American Heart Association,,2016
Cellular and molecular gastroenterology and hepatology 1 4 381 394,,2015
EMBO reports,,2006
Biotechnology letters,,1992
Circulation research,,2016
Journal of cellular and molecular medicine,,2012
Discoveries,,2015
The Pulmonary Endothelium Function in health and disease,"Chichester, UK …",2009
Journal of controlled release,,2018
Energy based Treatment of Tissue and Assessment VII,,2013
Cell Cell Channels,,2006
Advanced Materials,,2018
Journal of the American Society of Nephrology,,2018
The Journal of Immunology,,2016
Journal of basic microbiology,,1992
Recent Advances in Biotechnology,,1992
Arteriosclerosis thrombosis and vascular biology,,2018
Matrix Biology,,2017
Proceedings of the National Academy of Sciences,,2016
MOLECULAR BIOLOGY OF THE CELL 11 121A 121A,,2000
Nature immunology,,2019
Journal of cellular and molecular medicine,,2019
Biomaterials,,2018
Biochemical and biophysical research communications,,2011
MOLECULAR BIOLOGY OF THE CELL 9 96A 96A,,1998
FEMS microbiology letters 98 1 3,,1992
Comprehensive Toxicology 97,,
bioRxiv,,2019
bioRxiv,,2017
Photonic Therapeutics and Diagnostics X 8926 89260T,,2014
US Patent 8,,2013
US Patent 8,,2013
sn,,2013
Journal of Clinical Oncology 30 15_suppl e13567,,2012
Cellular Domains,,2011
Atherosclerosis Supplements,,2010
Elsevier,,2010
The FASEB Journal 22 1_supplement 329 5 329,,2008
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,,2008
Circulation 116 suppl_16 II_37 II_,,2007
The FASEB Journal 21 5 A187 A,,2007
J Cell Mol Med,,2007
Journal of cellular and molecular medicine,,2007
American Journal of Pathology,,2007
Circulation 114 suppl_18 II_258 II_,,2006
Circulation 114 suppl_18 II_140 II_,,2006
The FASEB Journal 20 4 A636 A,,2006
Cardiovascular Pathology,,2004
MOLECULAR BIOLOGY OF THE CELL 13 547A 547A,,2002
MOLECULAR BIOLOGY OF THE CELL 13 547A 547A,,2002
FASEB JOURNAL 16 4 A209 A,,2002
MOLECULAR BIOLOGY OF THE CELL 11 469A 469A,,2000
HEPATOLOGY 32 4 390A 390A,,2000
MOLECULAR BIOLOGY OF THE CELL 10 314A 314A,,1999
MOLECULAR BIOLOGY OF THE CELL 10 313A 313A,,1999
Journal of Cell Biology,,1999
MOLECULAR BIOLOGY OF THE CELL,,1996
,,
JNCI Journal of the National Cancer Institute,,2008
Circulation,,1998
Circulation,,2000
Journal of vascular surgery,,2001
Journal of vascular surgery,,2000
Cell 160 1 2,,2015
Circulation research,,2004
Jama,,2007
Circulation,,2002
Journal of vascular surgery,,1998
Journal of vascular surgery,,2002
Journal of vascular surgery,,2001
Journal of vascular surgery,,2002
American Journal of Physiology Heart and Circulatory Physiology 286,,2004
American Journal of Physiology Cell Physiology 304 12 C1141 C,,2013
Journal of vascular surgery,,1999
Journal of vascular surgery,,2002
Journal of vascular surgery,,2003
Journal of vascular surgery,,1999
British Journal of Surgery,,2017
Journal of vascular surgery,,2013
Journal of vascular surgery,,2013
American Journal of Physiology Heart and Circulatory Physiology 289,,2005
American Journal of Physiology Heart and Circulatory Physiology 297,,2009
Journal of vascular surgery,,2000
Annals of biomedical engineering,,2008
Annals of biomedical engineering,,2004
Circulation Cardiovascular Imaging,,2014
Journal of vascular surgery,,2004
Surgical Clinics of North America,,1997
American Journal of Physiology Heart and Circulatory Physiology 293,,2007
Journal of Surgical Research,,2006
Pediatric research,,1986
Journal of vascular surgery,,2004
Journal of vascular surgery 44 2 347 352,,2006
Biochimica et Biophysica Acta BBA General Subjects,,1989
Journal of vascular surgery 57 5 1275 1282,,2013
Arteriosclerosis thrombosis and vascular biology,,2015
The Journal of nutrition,,2015
Annals of vascular surgery,,2007
Molecular oncology,,2015
Journal of vascular surgery,,2012
Arteriosclerosis thrombosis and vascular biology,,2013
Journal of vascular surgery,,1993
Journal of vascular surgery,,2012
Journal of vascular surgery 45 6 A92 A,,2007
Cell 173 1 117 129,,2018
Cell stem cell,,2018
Surgery,,2013
Journal of biomedical materials research,,1993
Nature biomedical engineering,,2017
Diabetologia,,2004
Surgery,,1989
Journal of vascular surgery,,2013
Journal of vascular surgery 53 5 1251 1259,,2011
Thrombosis and haemostasis,,1994
Journal of vascular surgery 63 2 500 509,,2016
Journal of vascular surgery 61 2 419 427,,2015
The American Journal of Surgery,,2013
Journal of vascular surgery,,2010
Journal of vascular surgery,,2013
Annals of surgery,,2000
Journal of vascular surgery,,1995
Journal of vascular surgery,,2014
FEBS letters,,2009
Journal of vascular surgery,,2007
Cell metabolism 25 6 1320 1333,,2017
The American journal of pathology,,2013
Annals of vascular surgery,,2012
Journal of Surgical Research,,2002
Journal of Surgical Research,,1993
Textile Chemist Colorist,,1993
Proceedings of the National Academy of Sciences,,2014
Annals of vascular surgery,,2013
Journal of vascular surgery,,2015
Journal of vascular surgery 60 2 369 374,,2014
Journal of Surgical Research,,2013
Journal of vascular surgery 61 1 59 65,,2015
Journal of vascular surgery,,2014
Surgery,,2013
The American journal of pathology,,2011
The American journal of surgery,,1999
Journal of vascular surgery,,2014
Annals of vascular surgery,,2014
Surgery,,2004
Dose Response,,2018
Journal of vascular surgery 65 6 1713 1718,,2017
Radiation research,,2001
PloS one,,2015
Stroke,,2015
World journal of surgery,,2008
Journal of vascular surgery 57 2 486 492,,2013
2007 29th Annual International Conference of the IEEE Engineering in,,2007
Journal of Surgical Research,,2007
Greenfield s Surgery Scientific Principles and Practice,"Philadelphia, PA …",2005
Journal of Surgical Research,,2003
Adipocyte,,2016
Journal of vascular surgery 63 1 171 176,,2016
Current problems in surgery,,2014
US Patent App 13,,2012
Journal of vascular surgery 68 5 1552 1562,,2018
Surgery,,2013
Journal of vascular surgery,,2017
Gerontology,,2017
Journal of vascular surgery,,2017
Journal of vascular surgery,,2016
Journal of vascular surgery,,2014
Journal of Medical Devices,,2012
Circulation 124 suppl_21 A16562 A,,2011
Transactions of the ASME W Journal of Medical Devices,,2011
Bioconjugate chemistry,,2010
Journal of Surgical Research,,2019
Journal of vascular surgery,,2019
Journal of internal medicine,,2019
Cardiovascular research,,2017
The American Journal of Surgery 212 3 461 467,,2016
Surgery,,2016
Circulation,,1996
FASEB JOURNAL 2 4 A650 A,,1988
Journal of vascular surgery,,2019
Journal of vascular surgery 68 6 1796 1804,,2018
JCI insight,,2018
Kidney international reports,,2018
TISSUE ENGINEERING PART A 21 S23 S,,2015
Journal of Vascular Surgery,,2014
Arteriosclerosis Thrombosis and Vascular Biology 32 suppl_1 A100 A,,2012
2011 IEEE 37th Annual Northeast Bioengineering Conference NEBEC,,2011
Magnetic resonance in medicine,,2011
Journal of Vascular Surgery,,2010
Journal of Surgical Research,,2003
EUROPEAN HEART JOURNAL,,2002
LABORATORY INVESTIGATION,,1996
JOURNAL OF VASCULAR SURGERY,,2019
Cardiovascular Research,,2019
Journal of vascular surgery,,2019
JOURNAL OF VASCULAR SURGERY 68 6 220S 221S,,2018
Circulation 138 Suppl_1 A14763 A,,2018
Circulation 138 Suppl_1,,2018
Journal of the American College of Surgeons 227 4 S,,2018
Journal of Vascular Surgery,,2018
Journal of Vascular Surgery,,2018
Journal of Vascular Surgery,,2018
Acta Radiologica,,2018
Atherosclerosis Supplements,,2018
Arteriosclerosis Thrombosis and Vascular Biology 38 Suppl_1,,2018
Arteriosclerosis Thrombosis and Vascular Biology 38 Suppl_1,,2018
Arteriosclerosis Thrombosis and Vascular Biology 38 Suppl_1 A122 A,,2018
Arteriosclerosis Thrombosis and Vascular Biology 38 Suppl_1 A337 A,,2018
Arteriosclerosis Thrombosis and Vascular Biology 38 Suppl_1 A329 A,,2018
CARDIOVASCULAR RESEARCH,,2017
Journal of Vascular Surgery 66 2 e16,,2017
Journal of Vascular Surgery 66 2 e6,,2017
Journal of Vascular Surgery 65 6 9S 10S,,2017
Arteriosclerosis Thrombosis and Vascular Biology 37 suppl_1 A123 A,,2017
Arteriosclerosis Thrombosis and Vascular Biology 37 suppl_1 A303 A,,2017
The role of 14q32 microRNAs in vascular remodelling,,2017
JOURNAL OF VASCULAR SURGERY,,2017
Gerontology,,2017
Journal of Vascular Surgery,,2016
Arteriosclerosis Thrombosis and Vascular Biology 36 suppl_1 A178 A,,2016
CURRENT VASCULAR SURGERY 40TH ANNIVERSARY OF THE NORTHWESTERN VASCULAR,,2015
Journal of Vascular Surgery 61 6 121S,,2015
Arteriosclerosis Thrombosis and Vascular Biology 35 suppl_1 A278 A,,2015
Arteriosclerosis Thrombosis and Vascular Biology 35 suppl_1 A625 A,,2015
JOURNAL OF VASCULAR SURGERY,,2015
Interventionelle Radiologie Scan,,2015
Gefäßmedizin Scan Zeitschrift für Angiologie Gefäßchirurgie diagnostische,,2015
JOURNAL OF INVESTIGATIVE MEDICINE,,2015
Gefäßmedizin Scan Zeitschrift für Angiologie Gefäßchirurgie diagnostische,,2014
Journal of Vascular Surgery,,2014
Journal of Vascular Surgery 59 6 31S,,2014
Journal of Vascular Surgery,,2014
Arteriosclerosis Thrombosis and Vascular Biology 34 suppl_1 A352 A,,2014
Arteriosclerosis Thrombosis and Vascular Biology 34 suppl_1 A11 A,,2014
Journal of Surgical Research,,2014
Journal of Vascular Surgery,,2013
Journal of Vascular Surgery,,2013
ASME 2013 Summer Bioengineering Conference V01AT04A016 V01AT04A,,2013
Arteriosclerosis Thrombosis and Vascular Biology 33 5_MeetingAbstracts,,2013
Arteriosclerosis Thrombosis and Vascular Biology 33 suppl_1 A214 A,,2013
Arteriosclerosis Thrombosis and Vascular Biology 33 suppl_1 A306 A,,2013
Arteriosclerosis Thrombosis and Vascular Biology 33 suppl_1 A270 A,,2013
Journal of Vascular Surgery 57 5 28S,,2013
Journal of Vascular Surgery,,2012
Circulation 126 suppl_21 A16798 A,,2012
Journal of Vascular Surgery,,2012
Journal of Vascular Surgery,,2012
Journal of Vascular Surgery 55 6 88S 89S,,2012
Journal of Vascular Surgery 55 6 87S 88S,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 suppl_1 A454 A,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 suppl_1 A273 A,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 suppl_1 A481 A,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 5_MeetingAbstracts,,2012
Arteriosclerosis Thrombosis and Vascular Biology 32 5_MeetingAbstracts,,2012
,,2012
Journal of Vascular Surgery,,2011
Journal of Vascular Surgery,,2011
Journal of the American College of Surgeons 213 3 S,,2011
Journal of Vascular Surgery 53 6 61S 62S,,2011
Journal of Surgical Research,,2011
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 30 11 E315,,2010
Journal of the American College of Surgeons 211 3 S2 S,,2010
Journal of the American College of Surgeons 211 3 S,,2010
Journal of Vascular Surgery 51 6 75S,,2010
Journal of Vascular Surgery 51 6 98S,,2010
Proc Intl Soc Mag Reson Med,,2010
The FASEB Journal 23 1_supplement 312 3 312,,2009
Journal of Surgical Research,,2009
Journal of Surgical Research,,2009
General Surgery,,2009
Circulation 118 suppl_18 S_468 S_,,2008
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 28 6 E123,,2008
Annales de Chirurgie Vasculaire,,2007
Basic Mechanisms and Therapeutic Stimulation of Collateral Artery Growth,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Year Book of Vascular Surgery,,2007
Perspectives in vascular surgery and endovascular therapy,,2006
Journal of the American College of Surgeons 203 3 S,,2006
Journal of Biomechanics S,,2006
Vascular Pharmacology,,2006
Vascular Surgery,,2006
,,2005
CIRCULATION,,2004
Cardiovascular Pathology,,2004
Journal of Vascular Surgery 9A,,2004
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS 197 3 S102 S,,2003
Journal of Vascular Surgery,,2003
CIRCULATION,,2002
JOURNAL OF VASCULAR SURGERY,,2002
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 22 5 A71 A,,2002
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 22 5 A57 A,,2002
Journal of Vascular Surgery,,2002
Journal of Vascular Surgery,,2002
Journal of Vascular Surgery,,2001
CIRCULATION,,2000
CIRCULATION,,2000
Journal of Vascular Surgery,,2000
Vascular surgery,,1999
SURGICAL FORUM CHICAGO,,1999
Journal of Vascular Surgery,,1999
Journal of Vascular Surgery,,1998
CIRCULATION,,1996
SURGICAL FORUM CHICAGO,,1996
CIRCULATION,,1993
Pediatric Research,,1990
GASTROENTEROLOGY 94 5 A621 A,,1988
GASTROENTEROLOGY,,1987
Pediatric Research 19 4 159A,,1985
PEDIATRIC RESEARCH 19 4 A159 A,,1985
CRITICAL CARE MEDICINE,,1985
,,
,,
Nature medicine,nature.com,2008
,science.sciencemag.org,2004
Immunity,Elsevier,2001
Circulation,Am Heart Assoc,2010
Cardiovascular,academic.oup.com,1994
