Source,Publisher,Year
American Journal of,physiology.org,1993
The Journal of,Am Soc Clin Investig,2010
Journal of,jem.rupress.org,2006
Thrombosis and haemostasis,thieme-connect.com,2003
American Journal of,physiology.org,1990
The Journal of,Am Soc Clin Investig,1998
The Journal of,Am Soc Clin Investig,1997
The Journal of clinical,Am Soc Clin Investig,1995
Journal of,jem.rupress.org,2015
,Wiley Online Library,2006
PLoS,journals.plos.org,2008
Gastroenterology,Elsevier,1993
The Journal of Immunology,Am Assoc Immnol,2002
European journal of immunology,Wiley Online Library,2012
Circulation,Am Heart Assoc,2012
The Journal of,Am Assoc Immnol,2004
Cell host,Elsevier,2013
The Journal of,Am Assoc Immnol,1997
Nature reviews immunology,nature.com,2013
American Journal of,physiology.org,1992
Circulation,Am Heart Assoc,1993
PLoS,journals.plos.org,2008
Critical care,journals.lww.com,2014
Nature medicine,nature.com,2007
The Journal of,Am Assoc Immnol,2010
Nature,nature.com,2015
The Journal of Immunology,Am Assoc Immnol,2006
Nature,nature.com,2013
European journal of immunology,Wiley Online Library,2007
PloS one,journals.plos.org,2011
Molecular,Wiley Online Library,2012
Journal of,jem.rupress.org,2008
Circulation,Am Heart Assoc,2003
The Journal of,Am Assoc Immnol,2009
Journal of Experimental,jem.rupress.org,2004
Journal of,jem.rupress.org,2000
The Journal of,Am Assoc Immnol,1997
PLoS pathogens,journals.plos.org,2015
The Journal of,Am Soc Clin Investig,2003
European journal of,Wiley Online Library,2010
European journal of,Wiley Online Library,2002
Circulation,Am Heart Assoc,2005
Nature medicine,nature.com,2012
American Journal of Physiology,physiology.org,2002
American Journal of Physiology Heart and,physiology.org,1992
Circulation,Am Heart Assoc,1996
Journal of Neuroscience,Soc Neuroscience,2009
Blood,Am Soc Hematology,2003
Critical,ccforum.biomedcentral.com,2015
Journal of,liebertpub.com,2013
The Journal of,Am Assoc Immnol,2009
Science,science.sciencemag.org,2011
,Taylor & Francis,2007
The American journal of,Elsevier,2003
The Journal of,Am Assoc Immnol,2009
The FASEB Journal,fasebj.org,1993
Journal of,jem.rupress.org,2005
The Journal of,Am Soc Clin Investig,1999
The Journal of,Am Soc Clin Investig,2013
The Journal of,Am Assoc Immnol,2000
Cell host microbe,Elsevier,2012
Hepatology,Wiley Online Library,2000
American Journal of,physiology.org,2001
Nature neuroscience,nature.com,2012
Journal of leukocyte biology,Wiley Online Library,1994
Journal of leukocyte biology,Wiley Online Library,1997
The Journal of,Am Assoc Immnol,2003
Gastroenterology,Elsevier,1995
PLoS,journals.plos.org,2015
Seminars in immunology,ncbi.nlm.nih.gov,2002
American Journal of,physiology.org,2013
Circulation,Am Heart Assoc,2000
American Journal of,physiology.org,1999
Journal of,jem.rupress.org,2016
Blood,Am Soc Hematology,2007
Circulation research,Am Heart Assoc,1994
Systematic,systematicreviewsjournal …,2013
Blood,Am Soc Hematology,2005
The Journal of,Am Assoc Immnol,1999
Cardiovascular research,academic.oup.com,2010
Blood,Am Soc Hematology,2000
Nature medicine,nature.com,2011
,trialsjournal.biomedcentral.com,2013
Journal of molecular medicine,Springer,2011
The Journal of,Am Soc Clin Investig,2009
Blood,Am Soc Hematology,2013
American Journal of Physiology Gastrointestinal and,physiology.org,1993
American Journal of Physiology,physiology.org,1994
American Journal of,physiology.org,2000
Nature,nature.com,2013
Nature,nature.com,2010
The Journal of,Am Assoc Immnol,2004
PloS one,journals.plos.org,2008
The Journal of,Am Soc Clin Investig,2014
Circulation,Am Heart Assoc,2000
Nature immunology,nature.com,2013
Gastroenterology,gastrojournal.org,1997
The Journal of Immunology,Am Assoc Immnol,2008
The American journal of,ncbi.nlm.nih.gov,1998
American Journal of Physiology Gastrointestinal and,physiology.org,1992
Circulation,Am Heart Assoc,2004
Nature medicine,nature.com,2001
,Taylor & Francis,2005
The Journal of Immunology,Am Assoc Immnol,2008
The FASEB,fasebj.org,1995
The Journal of Immunology,Am Assoc Immnol,1994
The Journal of,Elsevier,1997
The FASEB,fasebj.org,1997
Hepatology,Wiley Online Library,2013
Circulation,Am Heart Assoc,1997
British journal of pharmacology,Wiley Online Library,2000
Journal of Experimental,jem.rupress.org,1996
The Journal of,Am Assoc Immnol,2004
The Journal of,Am Assoc Immnol,2006
Immunity,Elsevier,2005
The Journal of,Am Assoc Immnol,2001
Nature,nature.com,2008
American Journal of,physiology.org,1994
Gastroenterology,Elsevier,1992
Blood,Am Soc Hematology,2006
Blood,Am Soc Hematology,1994
Journal of,jem.rupress.org,2013
Circulation,Am Heart Assoc,2004
Journal of Neuropathology,academic.oup.com,2001
Journal of leukocyte biology,Wiley Online Library,2005
The Journal of,Am Assoc Immnol,2006
Nature reviews immunology,nature.com,2009
European journal of pharmacology,Elsevier,1993
Circulation,Am Heart Assoc,1998
Physiology,physiology.org,2001
American Journal of,physiology.org,1994
Nature medicine,nature.com,2017
BMC,bmcresnotes.biomedcentral.com,2012
European journal of,Wiley Online Library,2003
Microcirculation,Wiley Online Library,1995
The American journal of,Elsevier,2008
Blood,Am Soc Hematology,2007
The FASEB,fasebj.org,2002
The Journal of,Am Assoc Immnol,2002
Blood,Am Soc Hematology,1998
Microcirculation,Taylor & Francis,1994
Blood,Am Soc Hematology,1997
Brain Pathology,Wiley Online Library,2000
